    2       1.384733298070e-10       4.276702230642e-15       3.561665175391e-13       0.000000000000e+00       8.342288630230e-09       4.604547356831e-10      -1.867567448167e-12 
    3       1.309495076418e-10       5.490381865501e-15       4.014360099319e-13       0.000000000000e+00       5.202643013940e-09       3.279605955815e-10      -1.415751277049e-12 
    4       1.238517066314e-10       4.751473507331e-15       3.759848819465e-13       0.000000000000e+00       3.636233367513e-09       2.490844250589e-10      -9.279521352349e-13 
    5       1.185272659108e-10       3.170280616495e-15       3.205754324483e-13       0.000000000000e+00       2.721515143030e-09       1.972230086031e-10      -5.169020214763e-13 
    6       1.148654563173e-10       1.771725327255e-15       2.583736820941e-13       0.000000000000e+00       2.130125245463e-09       1.608171225627e-10      -2.140226479205e-13 
    7       1.124901599282e-10       9.547828461055e-16       2.029092929024e-13       0.000000000000e+00       1.722597539167e-09       1.341073803099e-10      -2.110399834518e-14 
    8       1.110939417499e-10       6.123366499819e-16       1.601906952017e-13       0.000000000000e+00       1.427482833166e-09       1.138493989200e-10       7.703900291309e-14 
    9       1.104223115634e-10       4.888905539833e-16       1.316419602330e-13       0.000000000000e+00       1.205062384054e-09       9.807139395111e-11       1.042376895598e-13 
   10       1.102677680433e-10       4.165240409202e-16       1.159705641476e-13       0.000000000000e+00       1.032417865539e-09       8.551975493803e-11       8.686212340989e-14 
   11       1.105407625106e-10       3.523507616747e-16       1.104418838195e-13       0.000000000000e+00       8.684782961451e-10       7.553428955316e-11       4.941836207672e-14 
   12       1.111300806185e-10       3.108598500844e-16       1.119814019543e-13       0.000000000000e+00       7.601120297950e-10       6.694886651695e-11       9.689297928041e-15 
   13       1.119627800604e-10       3.018320808598e-16       1.178026900452e-13       0.000000000000e+00       6.710333126686e-10       5.990642405402e-11      -2.034384068726e-14 
   14       1.129655819145e-10       3.167385642010e-16       1.257647343139e-13       0.000000000000e+00       5.968199964351e-10       5.374436715874e-11      -3.642709619113e-14 
   15       1.141483498122e-10       3.441991142829e-16       1.345868640363e-13       0.000000000000e+00       5.342725212840e-10       4.855273164297e-11      -3.887869773222e-14 
   16       1.154731859112e-10       3.824434632808e-16       1.435776527463e-13       0.000000000000e+00       4.810267974975e-10       4.410455647138e-11      -3.179285117263e-14 
   17       1.169006251358e-10       4.374681242711e-16       1.525125634237e-13       0.000000000000e+00       4.352959030142e-10       4.023835814020e-11      -2.046061788843e-14 
   18       1.184069387928e-10       5.148204521696e-16       1.616078894067e-13       0.000000000000e+00       3.955564666327e-10       3.681779514588e-11      -9.873678160447e-15 
   19       1.200039829251e-10       6.148731002711e-16       1.710937906837e-13       0.000000000000e+00       3.611945317627e-10       3.381788609682e-11      -2.614614166677e-15 
   20       1.216603781770e-10       7.356369611158e-16       1.811437248240e-13       0.000000000000e+00       3.308961835793e-10       3.117713682291e-11      -2.981474789232e-16 
   21       1.233863099681e-10       8.764833464608e-16       1.917187326583e-13       0.000000000000e+00       3.041944761271e-10       2.884907605366e-11      -2.243791684491e-15 
   22       1.251729344793e-10       1.036916712874e-15       2.026256783035e-13       0.000000000000e+00       2.804597878270e-10       2.675359683567e-11      -6.582854195115e-15 
   23       1.270141897538e-10       1.217140143575e-15       2.134988339878e-13       0.000000000000e+00       2.593719477950e-10       2.486112699654e-11      -1.155575253105e-14 
   24       1.288869854408e-10       1.417377219588e-15       2.238800897147e-13       0.000000000000e+00       2.404493505455e-10       2.313912369180e-11      -1.533251517679e-14 
   25       1.308074412580e-10       1.637703567867e-15       2.334969214751e-13       0.000000000000e+00       2.234738342786e-10       2.158962291718e-11      -1.712447915175e-14 
   26       1.327847714272e-10       1.878411048536e-15       2.421361235402e-13       0.000000000000e+00       2.081425398688e-10       2.020653212177e-11      -1.664767545537e-14 
   27       1.348017645934e-10       2.141711665763e-15       2.496813907842e-13       0.000000000000e+00       1.942747586211e-10       1.895863012471e-11      -1.454430519736e-14 
   28       1.368258545823e-10       2.430403575203e-15       2.560784492017e-13       0.000000000000e+00       1.816345620758e-10       1.780080468164e-11      -1.184014015283e-14 
   29       1.388669074617e-10       2.746095070239e-15       2.613944266089e-13       0.000000000000e+00       1.701594619190e-10       1.673185660944e-11      -9.213857944131e-15 
   30       1.409383614523e-10       3.090018468171e-15       2.657745683461e-13       0.000000000000e+00       1.597283488772e-10       1.575665874934e-11      -7.355239197515e-15 
   31       1.430432277809e-10       3.463319547361e-15       2.693679148302e-13       0.000000000000e+00       1.501310115058e-10       1.487111922041e-11      -6.891331311157e-15 
   32       1.451837307335e-10       3.866893309090e-15       2.721238037935e-13       0.000000000000e+00       1.413193061395e-10       1.406593942872e-11      -7.590096839744e-15 
   33       1.473525544129e-10       4.301469218818e-15       2.739181425084e-13       0.000000000000e+00       1.332321967359e-10       1.332239362100e-11      -8.843296518034e-15 
   34       1.495361581418e-10       4.767727957969e-15       2.746091003814e-13       0.000000000000e+00       1.257580408206e-10       1.261812459116e-11      -9.988634787078e-15 
   35       1.517402947762e-10       5.266599294989e-15       2.740549336573e-13       0.000000000000e+00       1.188595613194e-10       1.195438256589e-11      -1.076431679637e-14 
   36       1.539717673777e-10       5.799060046796e-15       2.720996970483e-13       0.000000000000e+00       1.124823978679e-10       1.133749919569e-11      -1.100574612508e-14 
   37       1.562323129959e-10       6.366034258751e-15       2.686004637021e-13       0.000000000000e+00       1.065446953934e-10       1.077085932410e-11      -1.059329016919e-14 
   38       1.585233674701e-10       6.968329349543e-15       2.635418496521e-13       0.000000000000e+00       1.010317394007e-10       1.025293830285e-11      -9.688337371748e-15 
