# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.383168097848e-10       4.188525862325e-15       3.524572021798e-13       0.000000000000e+00       8.259033851802e-09       4.553139989110e-10      -1.844742697982e-12 
    3       1.308811872865e-10       5.367197230560e-15       3.963149182034e-13       0.000000000000e+00       5.083553747790e-09       3.230129524787e-10      -1.397223213678e-12 
    4       1.238990589737e-10       4.640317989362e-15       3.707427627786e-13       0.000000000000e+00       3.535296953197e-09       2.446477362104e-10      -9.145828158565e-13 
    5       1.187084273305e-10       3.093505659732e-15       3.157806253936e-13       0.000000000000e+00       2.639910494014e-09       1.932470393574e-10      -5.082341741843e-13 
    6       1.151887638615e-10       1.728135599201e-15       2.543367323519e-13       0.000000000000e+00       2.063035176464e-09       1.572120901632e-10      -2.089405212951e-13 
    7       1.129353061454e-10       9.326011952462e-16       1.996722170701e-13       0.000000000000e+00       1.665160879727e-09       1.307589330529e-10      -1.818675040773e-14 
    8       1.116637386091e-10       6.007921154561e-16       1.576141417490e-13       0.000000000000e+00       1.376842582615e-09       1.106933782384e-10       7.898738762633e-14 
    9       1.111232794697e-10       4.815668637896e-16       1.294743353943e-13       0.000000000000e+00       1.159790207232e-09       9.512173627389e-11       1.059736943023e-13 
   10       1.110807559577e-10       4.099624216334e-16       1.139415814340e-13       0.000000000000e+00       9.914702914640e-10       8.278649539898e-11       8.869140386257e-14 
   11       1.114764947791e-10       3.444350305235e-16       1.083537879630e-13       0.000000000000e+00       8.355325879672e-10       7.312931552683e-11       5.132269553018e-14 
   12       1.121580022867e-10       3.003707524950e-16       1.096415997261e-13       0.000000000000e+00       7.301395900262e-10       6.463501371244e-11       1.148098490028e-14 
   13       1.130743333946e-10       2.884087851589e-16       1.151040096634e-13       0.000000000000e+00       6.436032830126e-10       5.774218140618e-11      -1.878076408181e-14 
   14       1.141782466471e-10       3.003309188004e-16       1.227046270438e-13       0.000000000000e+00       5.715937275205e-10       5.173813800576e-11      -3.521246174140e-14 
