# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.702153772294e-10       8.165278400843e-15       2.625238251554e-13       6.615317489336e-17       8.565292552453e-11       8.874157473052e-12      -7.338466580753e-15 
   41       1.727067153397e-10       8.867871329468e-15       2.542640399066e-13       6.950758581103e-17       8.139793189059e-11       8.473330125641e-12      -6.845279205413e-15 
   42       1.752162333956e-10       9.608467186866e-15       2.446211220579e-13       7.294639638467e-17       7.741875882156e-11       8.092059126138e-12      -6.820784400029e-15 
   43       1.777470211441e-10       1.038758139932e-14       2.335463283351e-13       7.646963337003e-17       7.370484531754e-11       7.731965953420e-12      -7.117170653594e-15 
   44       1.802987144397e-10       1.120564783944e-14       2.209880727107e-13       8.007731486090e-17       7.022918063585e-11       7.393704720477e-12      -7.548847196313e-15 
   45       1.828691300292e-10       1.206306220147e-14       2.068936594527e-13       8.376944655229e-17       6.695794975721e-11       7.077082964360e-12      -7.933581426872e-15 
   46       1.854605672420e-10       1.296033786906e-14       1.912158196682e-13       8.754600961681e-17       6.388599401148e-11       6.781677473499e-12      -8.236077619147e-15 
   47       1.880748022936e-10       1.389798922654e-14       1.739076095173e-13       9.140696890114e-17       6.100972447305e-11       6.506250695099e-12      -8.463351921945e-15 
   48       1.907110458243e-10       1.487648639687e-14       1.549203583903e-13       9.535227579736e-17       5.831642660614e-11       6.248481464878e-12      -8.625152108778e-15 
   49       1.933657113054e-10       1.589625362920e-14       1.342034809516e-13       9.938186786007e-17       5.578358178487e-11       6.004887822669e-12      -8.734126897087e-15 
   50       1.960345840528e-10       1.695764090591e-14       1.117095348400e-13       1.034956687201e-16       5.338564529883e-11       5.771817790320e-12      -8.806220299272e-15 
