# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.386569709393e-10       4.287776287976e-15       3.568265051905e-13       2.651375693350e-19       8.367651390620e-09       4.622481899918e-10      -1.870531022823e-12 
    3       1.312020728632e-10       5.506539238971e-15       4.024816010041e-13       5.303736702436e-19       5.219332309603e-09       3.293035224746e-10      -1.418611469651e-12 
    4       1.241829104040e-10       4.766818997993e-15       3.771947165941e-13       8.841733400817e-19       3.648260471955e-09       2.501124271025e-10      -9.302935943425e-13 
    5       1.189444020218e-10       3.181569181728e-15       3.217486984813e-13       1.326663164214e-18       2.730655773791e-09       1.980215957985e-10      -5.186450727960e-13 
    6       1.153729926637e-10       1.778751612087e-15       2.593749045996e-13       1.857997346694e-18       2.137311363053e-09       1.614439581937e-10      -2.152501439297e-13 
    7       1.130903953026e-10       9.588893171182e-16       2.036844936366e-13       2.478355177122e-18       1.728381020170e-09       1.346020035852e-10      -2.197774443465e-14 
    8       1.117872519036e-10       6.150843236144e-16       1.607554557363e-13       3.187938136811e-18       1.432216928614e-09       1.142414311416e-10       7.634440783986e-14 
    9       1.112075846744e-10       4.915769582200e-16       1.320578438742e-13       3.986966716429e-18       1.208986436530e-09       9.838367060872e-11       1.035833717763e-13 
   10       1.111422947315e-10       4.201584178867e-16       1.163203165117e-13       4.875677023479e-18       1.035701351057e-09       8.576419114198e-11       8.617210579717e-14 
   11       1.115014374360e-10       3.576318666105e-16       1.108093218396e-13       5.854317261801e-18       8.712269529004e-10       7.574353761377e-11       4.869563343993e-14 
   12       1.121735906107e-10       3.180908584951e-16       1.124390747379e-13       6.923144166718e-18       7.624475777520e-10       6.711170103284e-11       8.961467344309e-15 
   13       1.130841896768e-10       3.109384677607e-16       1.184060563049e-13       8.082419478370e-18       6.730274593110e-10       6.003336349258e-11      -2.100437658229e-14 
   14       1.141594120229e-10       3.274654628476e-16       1.265517476492e-13       9.332406532364e-18       5.985296656415e-10       5.383735488098e-11      -3.695847239878e-14 
   15       1.154092046936e-10       3.563670535781e-16       1.355824844483e-13       1.067336704114e-17       5.357430565200e-10       4.861793148667e-11      -3.924072860096e-14 
   16       1.167961415426e-10       3.960811928836e-16       1.447980635973e-13       1.210555813168e-17       4.822948020952e-10       4.414922542524e-11      -3.197910689499e-14 
   17       1.182792286790e-10       4.527677440205e-16       1.539704900812e-13       1.362922969575e-17       4.363913858061e-10       4.026895943800e-11      -2.049740715649e-14 
   18       1.198354163604e-10       5.320092642525e-16       1.633166811828e-13       1.524462197647e-17       3.965037739177e-10       3.683631942890e-11      -9.817240340748e-15 
   19       1.214766529977e-10       6.341411359325e-16       1.730689722862e-13       1.695196427267e-17       3.620153960300e-10       3.382562390594e-11      -2.528295067406e-15 
   20       1.231711537775e-10       7.571180874721e-16       1.834037475503e-13       1.875147207808e-17       3.316073215839e-10       3.117604171958e-11      -2.386213205921e-16 
