# Matter power spectrum P(k) at redshift z=0
# for k=1.04206e-05 to 1.08688 h/Mpc,
# number of wavenumbers equal to 603
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042057218184e-05       4.833539655401e+01 
       2.326967376526e-05       1.050303326576e+02 
       3.616372963947e-05       1.608012913958e+02 
       4.913726058908e-05       2.162204230293e+02 
       6.222535549630e-05       2.716173649976e+02 
       7.546398267914e-05       3.272416005242e+02 
       8.889031113686e-05       3.833080858664e+02 
       1.025430459556e-04       4.400159047265e+02 
       1.164627821606e-04       4.975580403202e+02 
       1.306923813332e-04       5.561271167746e+02 
       1.452773753209e-04       6.159195744430e+02 
       1.602664013077e-04       6.771388991534e+02 
       1.757116723447e-04       7.399983915615e+02 
       1.916694870808e-04       8.047236457446e+02 
       2.082007817954e-04       8.715551870971e+02 
       2.253717267954e-04       9.407507571082e+02 
       2.432543676180e-04       1.012587861555e+03 
       2.619273090887e-04       1.087366211177e+03 
       2.814764368350e-04       1.165410281286e+03 
       3.019956660435e-04       1.247071846397e+03 
       3.235877006993e-04       1.332732127845e+03 
       3.463647778621e-04       1.422804384746e+03 
       3.704493603543e-04       1.517735409485e+03 
       3.959747272868e-04       1.618006873790e+03 
       4.230853951560e-04       1.724135755179e+03 
       4.519372832768e-04       1.836673504615e+03 
       4.826975173611e-04       1.956203678895e+03 
       5.155437465279e-04       2.083337619985e+03 
       5.506628358540e-04       2.218707088846e+03 
       5.882487943983e-04       2.362954835735e+03 
       6.284998145830e-04       2.516720635956e+03 
       6.716143406905e-04       2.680624565139e+03 
       7.177861584853e-04       2.855246698144e+03 
       7.671986067553e-04       3.041103658517e+03 
       8.200181490390e-04       3.238623802060e+03 
       8.763876930455e-04       3.448122213593e+03 
       9.364201778720e-04       3.669777724870e+03 
       1.000193029296e-03       3.903614683942e+03 
       1.067744077653e-03       4.149490533837e+03 
       1.139069422528e-03       4.407092897218e+03 
       1.214123521084e-03       4.675944906307e+03 
       1.292821508324e-03       4.955419868311e+03 
       1.375043484184e-03       5.244740275586e+03 
       1.460640282666e-03       5.543048200162e+03 
       1.549440114178e-03       5.849439499667e+03 
       1.641255457310e-03       6.162947461567e+03 
       1.735889655132e-03       6.482591061630e+03 
       1.833142809841e-03       6.807400690775e+03 
       1.932816729317e-03       7.136434963097e+03 
       2.034718827560e-03       7.468797067172e+03 
       2.138664998307e-03       7.803644592707e+03 
       2.244481560134e-03       8.140195330973e+03 
       2.352006414304e-03       8.477731161096e+03 
       2.461089570942e-03       8.815597520982e+03 
       2.571593193781e-03       9.153203702234e+03 
       2.683391296900e-03       9.490018454331e+03 
       2.796369204942e-03       9.825566696263e+03 
       2.910422865544e-03       1.015942611673e+04 
       3.025458081673e-03       1.049122294480e+04 
       3.141389713497e-03       1.082062667010e+04 
       3.258140884718e-03       1.114734674789e+04 
       3.375642216713e-03       1.147112873716e+04 
       3.493831105161e-03       1.179174985813e+04 
       3.612651047396e-03       1.210901693015e+04 
       3.732051024208e-03       1.242276205649e+04 
       3.851984936650e-03       1.273284089401e+04 
       3.972411096403e-03       1.303912962651e+04 
       4.093291766891e-03       1.334152280012e+04 
       4.214592751694e-03       1.363993139794e+04 
       4.336283026372e-03       1.393428095149e+04 
       4.458334409815e-03       1.422450993204e+04 
       4.580721271248e-03       1.451056820641e+04 
       4.703420269259e-03       1.479241059299e+04 
       4.826410119451e-03       1.506996424112e+04 
       4.949671387590e-03       1.534330726043e+04 
       5.073186305432e-03       1.561234034308e+04 
       5.196938606661e-03       1.587707486638e+04 
       5.320913380673e-03       1.613754207731e+04 
       5.445096942154e-03       1.639374511766e+04 
       5.569476714656e-03       1.664562999003e+04 
       5.694041126572e-03       1.689246887992e+04 
       5.818779518084e-03       1.713577246509e+04 
       5.943682057842e-03       1.737479853924e+04 
       6.068739668277e-03       1.760952392635e+04 
       6.193943958564e-03       1.784008982038e+04 
       6.319287164388e-03       1.806660059331e+04 
       6.444762093754e-03       1.828909412375e+04 
       6.570362078173e-03       1.850690512116e+04 
       6.696080928642e-03       1.872066454814e+04 
       6.821912895890e-03       1.893025345293e+04 
       6.947852634446e-03       1.913583710679e+04 
