# Matter power spectrum P(k) at redshift z=0
# for k=1.0407e-05 to 1.13266 h/Mpc,
# number of wavenumbers equal to 612
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.040697121103e-05       4.828291372097e+01 
       2.280053529440e-05       1.030022284310e+02 
       3.523532562064e-05       1.568397368097e+02 
       4.774231208245e-05       2.103263416067e+02 
       6.035294620737e-05       2.637675056676e+02 
       7.309942085551e-05       3.173929671452e+02 
       8.601493771819e-05       3.713993145812e+02 
       9.913398592736e-05       4.259674915025e+02 
       1.124926351125e-04       4.812718091071e+02 
       1.261288462710e-04       5.374853184973e+02 
       1.400828038339e-04       5.947835024834e+02 
       1.543972722806e-04       6.533472924220e+02 
       1.691179805628e-04       7.133653369044e+02 
       1.842940373767e-04       7.750363071045e+02 
       1.999783799287e-04       8.385709457416e+02 
       2.162282581829e-04       9.041941832125e+02 
       2.331057555574e-04       9.721470569484e+02 
       2.506783455136e-04       1.042689097263e+03 
       2.690194812903e-04       1.116100214301e+03 
       2.882092129642e-04       1.192682969145e+03 
       3.083348218220e-04       1.272764450222e+03 
       3.294914564470e-04       1.356698730515e+03 
       3.517827476533e-04       1.444868136119e+03 
       3.753213702279e-04       1.537685124820e+03 
       4.002295082054e-04       1.635592893663e+03 
       4.266391672067e-04       1.739065990307e+03 
       4.546922626820e-04       1.848609167694e+03 
       4.845403977901e-04       1.964755308042e+03 
       5.163442310231e-04       2.088061760083e+03 
       5.502723245440e-04       2.219104063290e+03 
       5.864993637001e-04       2.358467525404e+03 
       6.252036514702e-04       2.506736295782e+03 
       6.665638142284e-04       2.664478801983e+03 
       7.107547116803e-04       2.832231055600e+03 
       7.579426257007e-04       3.010477064287e+03 
       8.082799061240e-04       3.199628349901e+03 
       8.618993648557e-04       3.400002763407e+03 
       9.189088134795e-04       3.611804071641e+03 
       9.793862087664e-04       3.835106443907e+03 
       1.043375880415e-03       4.069842035209e+03 
       1.110886249975e-03       4.315796237042e+03 
       1.181889309799e-03       4.572609279036e+03 
       1.256321936617e-03       4.839778602741e+03 
