# Matter power spectrum P(k) at redshift z=0
# for k=1.04206e-05 to 1.08688 h/Mpc,
# number of wavenumbers equal to 603
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042057218184e-05       4.833538426774e+01 
       2.326967376526e-05       1.050302811761e+02 
       3.616372963947e-05       1.608010751155e+02 
       4.913726058908e-05       2.162198903787e+02 
       6.222535549630e-05       2.716162938864e+02 
       7.546398267914e-05       3.272396993628e+02 
       8.889031113686e-05       3.833049974526e+02 
       1.025430459556e-04       4.400112052934e+02 
       1.164627821606e-04       4.975511916806e+02 
       1.306923813332e-04       5.561174892550e+02 
       1.452773753209e-04       6.159064195491e+02 
       1.602664013077e-04       6.771213232096e+02 
       1.757116723447e-04       7.399753101292e+02 
       1.916694870808e-04       8.046938687294e+02 
       2.082007817954e-04       8.715172328167e+02 
       2.253717267954e-04       9.407028675412e+02 
       2.432543676180e-04       1.012527980663e+03 
       2.619273090887e-04       1.087291852994e+03 
       2.814764368350e-04       1.165318560126e+03 
       3.019956660435e-04       1.246959251774e+03 
       3.235877006993e-04       1.332594618851e+03 
       3.463647778621e-04       1.422636939781e+03 
       3.704493603543e-04       1.517532124549e+03 
       3.959747272868e-04       1.617760704454e+03 
       4.230853951560e-04       1.723838188850e+03 
       4.519372832768e-04       1.836314397703e+03 
       4.826975173611e-04       1.955770847286e+03 
       5.155437465279e-04       2.082816407901e+03 
       5.506628358540e-04       2.218080135381e+03 
       5.882487943983e-04       2.362201184985e+03 
       6.284998145830e-04       2.515815262066e+03 
       6.716143406905e-04       2.679537961815e+03 
       7.177861584853e-04       2.853943861409e+03 
       7.671986067553e-04       3.039543359352e+03 
       8.200181490390e-04       3.236757773683e+03 
       8.763876930455e-04       3.445894347783e+03 
       9.364201778720e-04       3.667123290276e+03 
       1.000193029296e-03       3.900459315709e+03 
       1.067744077653e-03       4.145750079004e+03 
       1.139069422528e-03       4.402672150071e+03 
       1.214123521084e-03       4.670738025646e+03 
       1.292821508324e-03       4.949309452100e+03 
       1.375043484184e-03       5.237600218648e+03 
       1.460640282666e-03       5.534741694153e+03 
       1.549440114178e-03       5.839817892248e+03 
       1.641255457310e-03       6.151851191991e+03 
       1.735889655132e-03       6.469852280870e+03 
       1.833142809841e-03       6.792842146714e+03 
       1.932816729317e-03       7.119870718183e+03 
       2.034718827560e-03       7.450034011268e+03 
       2.138664998307e-03       7.782481422077e+03 
       2.244481560134e-03       8.116424361708e+03 
       2.352006414304e-03       8.451138271804e+03 
       2.461089570942e-03       8.785962926434e+03 
       2.571593193781e-03       9.120302257351e+03 
       2.683391296900e-03       9.453619239534e+03 
       2.796369204942e-03       9.785435590611e+03 
       2.910422865544e-03       1.011532463600e+04 
       3.025458081673e-03       1.044290889097e+04 
       3.141389713497e-03       1.076785553094e+04 
       3.258140884718e-03       1.108987210606e+04 
       3.375642216713e-03       1.140870257448e+04 
       3.493831105161e-03       1.172412388214e+04 
       3.612651047396e-03       1.203594303259e+04 
       3.732051024208e-03       1.234399306965e+04 
       3.851984936650e-03       1.264813197198e+04 
       3.972411096403e-03       1.294823869658e+04 
       4.093291766891e-03       1.324421211095e+04 
       4.214592751694e-03       1.353596782396e+04 
       4.336283026372e-03       1.382343814492e+04 
       4.458334409815e-03       1.410656804570e+04 
       4.580721271248e-03       1.438531535484e+04 
       4.703420269259e-03       1.465964471244e+04 
       4.826410119451e-03       1.492949380053e+04 
       4.949671387590e-03       1.519495063180e+04 
       5.073186305432e-03       1.545592850140e+04 
       5.196938606661e-03       1.571245185644e+04 
       5.320913380673e-03       1.596456553615e+04 
       5.445096942154e-03       1.621228671052e+04 
       5.569476714656e-03       1.645557663354e+04 
       5.694041126572e-03       1.669373287023e+04 
       5.818779518084e-03       1.692826431557e+04 
       5.943682057842e-03       1.715845376810e+04 
       6.068739668277e-03       1.738429637781e+04 
       6.193943958564e-03       1.760594839215e+04 
       6.319287164388e-03       1.782352920964e+04 
       6.444762093754e-03       1.803709622859e+04 
       6.570362078173e-03       1.824600883646e+04 
       6.696080928642e-03       1.845090673741e+04 
       6.821912895890e-03       1.865169078346e+04 
       6.947852634446e-03       1.884854094131e+04 
       7.073895170104e-03       1.904142038351e+04 
       7.200035870447e-03       1.923032410687e+04 
       7.326270418095e-03       1.941533892907e+04 
       7.452594786405e-03       1.959635892078e+04 
       7.579005217378e-03       1.977377518198e+04 
       7.705498201531e-03       1.994791790646e+04 
       7.832070459557e-03       2.011782551613e+04 
       7.958718925593e-03       2.028405077028e+04 
       8.085440731924e-03       2.044665419590e+04 
       8.212233195007e-03       2.060572902521e+04 
       8.339093802667e-03       2.076125275417e+04 
       8.466020202373e-03       2.091328645903e+04 
       8.593010190477e-03       2.106187322868e+04 
       8.720061702340e-03       2.120706597634e+04 
       8.847172803251e-03       2.134890132444e+04 
       8.974341680084e-03       2.148738702643e+04 
       9.101566633608e-03       2.162263235309e+04 
       9.228846071407e-03       2.175464940660e+04 
       9.356178501349e-03       2.188346917978e+04 
       9.483562525558e-03       2.200915440557e+04 
       9.610996834852e-03       2.213174128251e+04 
       9.738480203593e-03       2.225128617532e+04 
       9.866011484932e-03       2.236771475977e+04 
       9.993589606404e-03       2.248128166920e+04 
       1.012121356585e-02       2.259175341087e+04 
       1.024888242764e-02       2.269936785582e+04 
       1.037659531916e-02       2.280419043708e+04 
       1.050435142758e-02       2.290609327073e+04 
       1.063214999681e-02       2.300513244041e+04 
       1.075999032471e-02       2.310154014148e+04 
       1.088787176051e-02       2.319504437943e+04 
       1.101579370235e-02       2.328597577729e+04 
       1.114375559508e-02       2.337422725395e+04 
       1.127175692811e-02       2.345984516106e+04 
       1.139979723352e-02       2.354286601927e+04 
       1.152787608424e-02       2.362331556927e+04 
       1.165599309233e-02       2.370125656309e+04 
       1.178414790747e-02       2.377668341762e+04 
       1.191234021548e-02       2.384964860264e+04 
       1.204056973694e-02       2.392017201544e+04 
       1.216883622598e-02       2.398827568472e+04 
       1.229713946909e-02       2.405404312193e+04 
       1.242547928400e-02       2.411744057361e+04 
       1.255385551873e-02       2.417856048967e+04 
       1.268226805060e-02       2.423737551557e+04 
       1.281071678538e-02       2.429397604061e+04 
       1.293920165651e-02       2.434829325698e+04 
       1.306772262429e-02       2.440045814524e+04 
       1.319627967526e-02       2.445041410312e+04 
       1.332487282152e-02       2.449823904538e+04 
       1.345350210015e-02       2.454394270252e+04 
       1.358216757269e-02       2.458766485823e+04 
       1.371086932460e-02       2.462919757255e+04 
       1.383960746488e-02       2.466864360633e+04 
       1.396838212557e-02       2.470612359151e+04 
       1.409719346145e-02       2.474166233304e+04 
       1.422604164965e-02       2.477523881221e+04 
       1.435492688938e-02       2.480683241502e+04 
       1.448384940161e-02       2.483650639178e+04 
       1.461280942891e-02       2.486431653336e+04 
       1.474180723514e-02       2.489030591225e+04 
       1.487084310533e-02       2.491438735217e+04 
       1.499991734553e-02       2.493662758607e+04 
       1.512903028262e-02       2.495707692112e+04 
       1.525818226427e-02       2.497577989435e+04 
       1.538737365882e-02       2.499273792774e+04 
       1.551660485524e-02       2.500792735583e+04 
       1.564587626308e-02       2.502140812892e+04 
       1.577518831247e-02       2.503319058984e+04 
       1.590454145413e-02       2.504261428072e+04 
       1.603393615938e-02       2.505180200788e+04 
       1.616337292021e-02       2.505863206270e+04 
       1.629285224932e-02       2.506388296467e+04 
       1.642237468024e-02       2.506749328664e+04 
       1.655194076742e-02       2.506953612099e+04 
       1.668155108635e-02       2.507005712404e+04 
       1.681120623368e-02       2.506904100986e+04 
       1.694090682744e-02       2.506660948292e+04 
       1.707065350717e-02       2.506252378439e+04 
       1.720044693410e-02       2.505699888330e+04 
       1.733028779142e-02       2.505003662694e+04 
       1.746017678444e-02       2.504164862748e+04 
       1.759011464089e-02       2.503183227749e+04 
       1.772010211114e-02       2.501951469635e+04 
       1.785013996851e-02       2.500803361556e+04 
       1.798022900954e-02       2.499354763742e+04 
       1.811037005432e-02       2.497869210135e+04 
       1.824056394678e-02       2.496130321053e+04 
       1.837081155511e-02       2.494334526664e+04 
       1.850111377203e-02       2.492410565698e+04 
       1.863147151523e-02       2.490367769278e+04 
       1.876188572773e-02       2.488257057541e+04 
       1.889235737834e-02       2.485889412091e+04 
       1.902288746202e-02       2.483511384611e+04 
       1.915347700039e-02       2.480976480099e+04 
       1.928412704214e-02       2.478197203862e+04 
       1.941483866358e-02       2.475410971299e+04 
       1.954561296905e-02       2.472631313354e+04 
       1.967645109154e-02       2.469608474703e+04 
       1.980735419314e-02       2.466475232847e+04 
       1.993832346565e-02       2.463203175968e+04 
       2.006936013115e-02       2.459834296811e+04 
       2.020046544259e-02       2.456357591585e+04 
       2.033164068438e-02       2.452889452666e+04 
       2.046288717307e-02       2.449118229237e+04 
       2.059420625801e-02       2.445446740629e+04 
       2.072559932200e-02       2.441483607389e+04 
       2.085706778199e-02       2.437538022087e+04 
       2.098861308985e-02       2.433545162501e+04 
       2.112023673309e-02       2.429310261403e+04 
       2.125194023562e-02       2.425030831103e+04 
       2.138372515859e-02       2.420686839601e+04 
       2.151559310117e-02       2.416244210689e+04 
       2.164754570143e-02       2.411716149168e+04 
       2.177958463719e-02       2.407109290563e+04 
       2.191171162697e-02       2.402402828410e+04 
       2.204392843087e-02       2.397605778994e+04 
       2.217623685155e-02       2.392719401771e+04 
       2.230863873524e-02       2.387774573698e+04 
       2.244113597274e-02       2.382732940536e+04 
       2.257373050049e-02       2.377604927595e+04 
       2.270642430165e-02       2.372415701924e+04 
       2.283921940721e-02       2.367189485862e+04 
       2.297211789718e-02       2.361799018918e+04 
       2.310512190176e-02       2.356450597013e+04 
       2.323823360255e-02       2.350884800417e+04 
       2.337145523388e-02       2.345326329094e+04 
       2.350478908406e-02       2.339681748822e+04 
       2.363823749676e-02       2.334004101100e+04 
       2.377180287240e-02       2.328234376676e+04 
       2.390548766959e-02       2.322393015607e+04 
       2.403929440661e-02       2.316505598650e+04 
       2.417322566294e-02       2.310540416183e+04 
       2.430728408084e-02       2.304597978210e+04 
       2.444147236701e-02       2.298447733413e+04 
       2.457579329423e-02       2.292314074767e+04 
       2.471024970313e-02       2.286178621393e+04 
