# Matter power spectrum P(k) at redshift z=0
# for k=1.0407e-05 to 1.13266 h/Mpc,
# number of wavenumbers equal to 612
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.040697121103e-05       4.828291628007e+01 
       2.280053529440e-05       1.030022236295e+02 
       3.523532562064e-05       1.568397018871e+02 
       4.774231208245e-05       2.103262564443e+02 
       6.035294620737e-05       2.637673338749e+02 
       7.309942085551e-05       3.173926634778e+02 
       8.601493771819e-05       3.713988138679e+02 
       9.913398592736e-05       4.259667255944e+02 
       1.124926351125e-04       4.812706864548e+02 
       1.261288462710e-04       5.374837162659e+02 
       1.400828038339e-04       5.947813264927e+02 
       1.543972722806e-04       6.533443628231e+02 
       1.691179805628e-04       7.133614812531e+02 
       1.842940373767e-04       7.750312995273e+02 
       1.999783799287e-04       8.385645143898e+02 
       2.162282581829e-04       9.041859721787e+02 
       2.331057555574e-04       9.721367120537e+02 
       2.506783455136e-04       1.042676131416e+03 
       2.690194812903e-04       1.116084044299e+03 
       2.882092129642e-04       1.192662840934e+03 
       3.083348218220e-04       1.272739561092e+03 
       3.294914564470e-04       1.356667943732e+03 
       3.517827476533e-04       1.444830139196e+03 
       3.753213702279e-04       1.537638218275e+03 
       4.002295082054e-04       1.635535071425e+03 
       4.266391672067e-04       1.738994655414e+03 
       4.546922626820e-04       1.848521081504e+03 
       4.845403977901e-04       1.964646458723e+03 
       5.163442310231e-04       2.087927016381e+03 
       5.502723245440e-04       2.218936993560e+03 
       5.864993637001e-04       2.358260164221e+03 
       6.252036514702e-04       2.506478500272e+03 
       6.665638142284e-04       2.664157968537e+03 
       7.107547116803e-04       2.831831436752e+03 
       7.579426257007e-04       3.009979378307e+03 
       8.082799061240e-04       3.199008908827e+03 
       8.618993648557e-04       3.399232627303e+03 
       9.189088134795e-04       3.610848986078e+03 
       9.793862087664e-04       3.833925658947e+03 
       1.043375880415e-03       4.068388181941e+03 
       1.110886249975e-03       4.314014961103e+03 
       1.181889309799e-03       4.570439620890e+03 
       1.256321936617e-03       4.837149291920e+03 
       1.334088902865e-03       5.113489741760e+03 
       1.415067262885e-03       5.398782694505e+03 
       1.499111665973e-03       5.692235483402e+03 
       1.586060102008e-03       5.993006643905e+03 
       1.675739615095e-03       6.300229736032e+03 
       1.767971607272e-03       6.613034841821e+03 
       1.862576470538e-03       6.930566935896e+03 
       1.959377405261e-03       7.252000338637e+03 
       2.058203387121e-03       7.576549987821e+03 
       2.158891322960e-03       7.903478956092e+03 
       2.261287486037e-03       8.232102936525e+03 
       2.365248346427e-03       8.561792393729e+03 
       2.470640918439e-03       8.891972450552e+03 
       2.577342740362e-03       9.222121422868e+03 
       2.685241588006e-03       9.551768282125e+03 
       2.794235006635e-03       9.880489520832e+03 
       2.904229728786e-03       1.020790592677e+04 
       3.015141029752e-03       1.053367859633e+04 
       3.126892059039e-03       1.085750583020e+04 
       3.239413175019e-03       1.117911938807e+04 
       3.352641301285e-03       1.149828175488e+04 
       3.466519316566e-03       1.181478276996e+04 
       3.580995485065e-03       1.212843737374e+04 
       3.696022930535e-03       1.243908268584e+04 
       3.811559154913e-03       1.274657664808e+04 
       3.927565600609e-03       1.305079481199e+04 
       4.044007254508e-03       1.335162890644e+04 
       4.160852291071e-03       1.364898572483e+04 
       4.278071751597e-03       1.394278445876e+04 
       4.395639256576e-03       1.423295666484e+04 
       4.513530748121e-03       1.451944434458e+04 
       4.631724259538e-03       1.480219869503e+04 
       4.750199709311e-03       1.508114943524e+04 
       4.868938716942e-03       1.535630570333e+04 
       4.987924438337e-03       1.562764693608e+04 
       5.107141418611e-03       1.589512331806e+04 
       5.226575460425e-03       1.615867958924e+04 
       5.346213506127e-03       1.641846998284e+04 
       5.466043532191e-03       1.667437018839e+04 
       5.586054454585e-03       1.692637039780e+04 
       5.706236043859e-03       1.717372440985e+04 
       5.826578848880e-03       1.741796474028e+04 
       5.947074128275e-03       1.765832200290e+04 
       6.067713788715e-03       1.789477561163e+04 
       6.188490329326e-03       1.812747802303e+04 
       6.309396791534e-03       1.835649870348e+04 
       6.430426713783e-03       1.858191304829e+04 
       6.551574090596e-03       1.880303411127e+04 
       6.672833335523e-03       1.902044588898e+04 
       6.794199247570e-03       1.923401734042e+04 
       6.915666980741e-03       1.944399918625e+04 
       7.037232016385e-03       1.965036645702e+04 
       7.158890138048e-03       1.985302663114e+04 
       7.280637408588e-03       2.005191517914e+04 
       7.402470149322e-03       2.024706526026e+04 
       7.524384921005e-03       2.043887535868e+04 
       7.646378506462e-03       2.062760671161e+04 
       7.768447894712e-03       2.081225121824e+04 
       7.890590266440e-03       2.099336156527e+04 
       8.012802980696e-03       2.117101735636e+04 
       8.135083562692e-03       2.134524985990e+04 
       8.257429692613e-03       2.151603080315e+04 
       8.379839195330e-03       2.168346414345e+04 
       8.502310030949e-03       2.184753515462e+04 
       8.624840286114e-03       2.200827839389e+04 
       8.747428165988e-03       2.216572869978e+04 
       8.870071986876e-03       2.231991195021e+04 
       8.992770169407e-03       2.247085116499e+04 
       9.115521232245e-03       2.261861559538e+04 
       9.238323786277e-03       2.276321576699e+04 
       9.361176529243e-03       2.290468015797e+04 
       9.484078240759e-03       2.304305322816e+04 
       9.607027777715e-03       2.317834544610e+04 
       9.730024070012e-03       2.331064624557e+04 
       9.853066116607e-03       2.343986767518e+04 
       9.976152981845e-03       2.356613994502e+04 
       1.009928379205e-02       2.368947936365e+04 
       1.022245773239e-02       2.380930580391e+04 
       1.034567404389e-02       2.392741912588e+04 
       1.046893202077e-02       2.404211369413e+04 
       1.059223100783e-02       2.415404397439e+04 
       1.071557039817e-02       2.426304646053e+04 
       1.083894963094e-02       2.436932713892e+04 
       1.096236818933e-02       2.447292953784e+04 
       1.108582559862e-02       2.457379738923e+04 
       1.120932142448e-02       2.467207984470e+04 
       1.133285527127e-02       2.476756659621e+04 
       1.145642678051e-02       2.486051788329e+04 
       1.158003562949e-02       2.495084235661e+04 
       1.170368152990e-02       2.503865095007e+04 
       1.182736422660e-02       2.512395345702e+04 
       1.195108349648e-02       2.520669530338e+04 
       1.207483914740e-02       2.528711919704e+04 
       1.219863101715e-02       2.536498160735e+04 
       1.232245897259e-02       2.544032118900e+04 
       1.244632290874e-02       2.551344105184e+04 
       1.257022274800e-02       2.558406978514e+04 
       1.269415843942e-02       2.565245696435e+04 
       1.281812995801e-02       2.571864282274e+04 
       1.294213730411e-02       2.578233770906e+04 
       1.306618050281e-02       2.584392841959e+04 
       1.319025960342e-02       2.590329668250e+04 
       1.331437467897e-02       2.596040561164e+04 
       1.343852582575e-02       2.601520123722e+04 
       1.356271316292e-02       2.606800572278e+04 
       1.368693683215e-02       2.611876161757e+04 
       1.381119699721e-02       2.616724818121e+04 
       1.393549384375e-02       2.621367384886e+04 
       1.405982757898e-02       2.625822937485e+04 
       1.418419843144e-02       2.630053310080e+04 
       1.430860665076e-02       2.634098438618e+04 
       1.443305250753e-02       2.637939169740e+04 
       1.455753629309e-02       2.641586495292e+04 
       1.468205831943e-02       2.645044595757e+04 
       1.480661891905e-02       2.648302365756e+04 
       1.493121844490e-02       2.651385957216e+04 
       1.505585727031e-02       2.654265391583e+04 
       1.518053578897e-02       2.656974086808e+04 
       1.530525441487e-02       2.659493273792e+04 
       1.543001358233e-02       2.661837407265e+04 
       1.555481374604e-02       2.664011042705e+04 
       1.567965538105e-02       2.665993789813e+04 
       1.580453898291e-02       2.667814024394e+04 
       1.592946506766e-02       2.669460488557e+04 
       1.605443417201e-02       2.670938001308e+04 
       1.617944685340e-02       2.672252780244e+04 
       1.630450369017e-02       2.673411417357e+04 
       1.642960528170e-02       2.674388869174e+04 
       1.655475224857e-02       2.675114641486e+04 
       1.667994523277e-02       2.675884197053e+04 
       1.680518489787e-02       2.676401051287e+04 
       1.693047192928e-02       2.676764148672e+04 
       1.705580703446e-02       2.676968742140e+04 
       1.718119094317e-02       2.677011783317e+04 
       1.730662440777e-02       2.676837526938e+04 
       1.743210820347e-02       2.676685607638e+04 
       1.755764312864e-02       2.676249082764e+04 
       1.768323000515e-02       2.675718573107e+04 
       1.780886967869e-02       2.675048007086e+04 
       1.793456301912e-02       2.674299098418e+04 
       1.806031092083e-02       2.673355637518e+04 
       1.818611430316e-02       2.672198733408e+04 
       1.831197411075e-02       2.671068979143e+04 
       1.843789131402e-02       2.669735272912e+04 
       1.856386690954e-02       2.668243726104e+04 
       1.868990192055e-02       2.666524760509e+04 
       1.881599739738e-02       2.664846886894e+04 
       1.894215441796e-02       2.663073078429e+04 
       1.906837408834e-02       2.661098987045e+04 
       1.919465754318e-02       2.658891196801e+04 
       1.932100594634e-02       2.656677102541e+04 
       1.944742049142e-02       2.654392633895e+04 
       1.957390240236e-02       2.652011235279e+04 
       1.970045293400e-02       2.649450366756e+04 
       1.982707337278e-02       2.646775946812e+04 
       1.995376503731e-02       2.643928636576e+04 
       2.008052927911e-02       2.641016796706e+04 
       2.020736748322e-02       2.638015396965e+04 
       2.033428106899e-02       2.634994223606e+04 
       2.046127149076e-02       2.631684063686e+04 
       2.058834023866e-02       2.628369359963e+04 
       2.071548883936e-02       2.624966839400e+04 
       2.084271885689e-02       2.621534419636e+04 
       2.097003189348e-02       2.617918421940e+04 
       2.109742959043e-02       2.614095458040e+04 
       2.122491362896e-02       2.610281443719e+04 
       2.135248573118e-02       2.606397904447e+04 
       2.148014766098e-02       2.602501141447e+04 
       2.160790122506e-02       2.598328004062e+04 
       2.173574827388e-02       2.594151965205e+04 
       2.186369070274e-02       2.589884530443e+04 
       2.199173045283e-02       2.585552217037e+04 
       2.211986951234e-02       2.581116204303e+04 
       2.224810991757e-02       2.576581605700e+04 
       2.237645375417e-02       2.571976223260e+04 
       2.250490315827e-02       2.567302639410e+04 
       2.263346031779e-02       2.562616303855e+04 
       2.276212747371e-02       2.557699464298e+04 
       2.289090692138e-02       2.552783808502e+04 
       2.301980101193e-02       2.547862759218e+04 
       2.314881215365e-02       2.542724141422e+04 
       2.327794281346e-02       2.537597727745e+04 
       2.340719551846e-02       2.532445727512e+04 
       2.353657285742e-02       2.527164755957e+04 
       2.366607748245e-02       2.521825129700e+04 
       2.379571211060e-02       2.516314093515e+04 
       2.392547952564e-02       2.510885613651e+04 
       2.405538257979e-02       2.505357585994e+04 
       2.418542419556e-02       2.499753282270e+04 
       2.431560736762e-02       2.494065801190e+04 
       2.444593516481e-02       2.488335359949e+04 
       2.457641073211e-02       2.482535442324e+04 
       2.470703729274e-02       2.476593666112e+04 
       2.483781815033e-02       2.470697031142e+04 
       2.496875669113e-02       2.464784181872e+04 
       2.509985638634e-02       2.458751594949e+04 
       2.523112079450e-02       2.452586112129e+04 
       2.536255356395e-02       2.446450230145e+04 
       2.549415843540e-02       2.440266477274e+04 
       2.562593924454e-02       2.434017946362e+04 
       2.575789992486e-02       2.427740021068e+04 
       2.589004451041e-02       2.421392155677e+04 
       2.602237713877e-02       2.415006135779e+04 
       2.615490205413e-02       2.408560239800e+04 
       2.628762361039e-02       2.402087289694e+04 
       2.642054627449e-02       2.395620108329e+04 
       2.655367462976e-02       2.388995450717e+04 
       2.668701337946e-02       2.382414814498e+04 
       2.682056735044e-02       2.375704068446e+04 
       2.695434149693e-02       2.369056647952e+04 
       2.708834090443e-02       2.362268064243e+04 
       2.722257079387e-02       2.355514998694e+04 
       2.735703652577e-02       2.348692178392e+04 
       2.749174360470e-02       2.341838270668e+04 
       2.762669768385e-02       2.334978806566e+04 
       2.776190456976e-02       2.328035955084e+04 
       2.789737022729e-02       2.321097616407e+04 
       2.803310078476e-02       2.314082785144e+04 
       2.816910253928e-02       2.307056913589e+04 
       2.830538196237e-02       2.300004450676e+04 
       2.844194570568e-02       2.292920757975e+04 
       2.857880060711e-02       2.285804655675e+04 
       2.871595369702e-02       2.278661937256e+04 
       2.885341220484e-02       2.271488998638e+04 
       2.899118356587e-02       2.264286832348e+04 
       2.912927542839e-02       2.257060947826e+04 
       2.926769566112e-02       2.249855142029e+04 
       2.940645236094e-02       2.242536993603e+04 
       2.954555386099e-02       2.235232174770e+04 
       2.968500873913e-02       2.227902567529e+04 
       2.982482582671e-02       2.220561967793e+04 
       2.996501421788e-02       2.213192863272e+04 
       3.010558327913e-02       2.205799645022e+04 
       3.024654265943e-02       2.198412028529e+04 
       3.038790230079e-02       2.190949133007e+04 
       3.052967244923e-02       2.183522021988e+04 
       3.067186366641e-02       2.176027203025e+04 
       3.081448684168e-02       2.168537767869e+04 
       3.095755320482e-02       2.161029166556e+04 
       3.110107433931e-02       2.153505944940e+04 
       3.124506219630e-02       2.145993086690e+04 
       3.138952910926e-02       2.138447198969e+04 
       3.153448780932e-02       2.130831076557e+04 
       3.167995144149e-02       2.123248945820e+04 
       3.182593358157e-02       2.115644915305e+04 
       3.197244825403e-02       2.108032032340e+04 
       3.211950995078e-02       2.100401960228e+04 
       3.226713365091e-02       2.092794231701e+04 
       3.241533484155e-02       2.085117308907e+04 
       3.256412953974e-02       2.077446919539e+04 
       3.271353431558e-02       2.069775054660e+04 
       3.286356631660e-02       2.062118314811e+04 
       3.301424329347e-02       2.054424187164e+04 
       3.316558362720e-02       2.046685743536e+04 
       3.331760635787e-02       2.038966693890e+04 
       3.347033121490e-02       2.031242746950e+04 
       3.362377864924e-02       2.023505207682e+04 
       3.377796986734e-02       2.015760431971e+04 
       3.393292686714e-02       2.008033081923e+04 
       3.408867247623e-02       2.000263962603e+04 
       3.424523039235e-02       1.992494827885e+04 
       3.440262522634e-02       1.984724112224e+04 
       3.456088254776e-02       1.976914463669e+04 
       3.472002893339e-02       1.969142528140e+04 
       3.488009201884e-02       1.961341425336e+04 
       3.504110055342e-02       1.953518166877e+04 
       3.520308445866e-02       1.945713584486e+04 
       3.536607489065e-02       1.937883958390e+04 
       3.553010430662e-02       1.930062413047e+04 
       3.569520653590e-02       1.922222155774e+04 
       3.586141685593e-02       1.914393978204e+04 
       3.602877207347e-02       1.906562633316e+04 
       3.619731061148e-02       1.898718219219e+04 
       3.636707260239e-02       1.890836585550e+04 
       3.653809998798e-02       1.882989081980e+04 
       3.671043662668e-02       1.875096760782e+04 
       3.688412840888e-02       1.867224457056e+04 
       3.705922338097e-02       1.859339512845e+04 
       3.723577187887e-02       1.851459541984e+04 
       3.741382667204e-02       1.843555103707e+04 
       3.759344311882e-02       1.835653094599e+04 
       3.777467933434e-02       1.827724174109e+04 
       3.795759637203e-02       1.819828205630e+04 
       3.814225842027e-02       1.811893791002e+04 
       3.832873301554e-02       1.803956276252e+04 
       3.851709127385e-02       1.796006171226e+04 
       3.870740814228e-02       1.788061219343e+04 
       3.889976267280e-02       1.780083875107e+04 
       3.909423832067e-02       1.772106294335e+04 
       3.929092327019e-02       1.764105002393e+04 
       3.948991079072e-02       1.756125371859e+04 
       3.969129962653e-02       1.748115123856e+04 
       3.989519442411e-02       1.740072825026e+04 
       4.010170620159e-02       1.732033034039e+04 
       4.031095286502e-02       1.723982013313e+04 
       4.052305977737e-02       1.715912286025e+04 
       4.073816038660e-02       1.707833168234e+04 
       4.095639692025e-02       1.699719835771e+04 
       4.117792115522e-02       1.691601283027e+04 
       4.140289527223e-02       1.683461002728e+04 
       4.163149280661e-02       1.675312716637e+04 
       4.186389970821e-02       1.667097648521e+04 
       4.210031552576e-02       1.658881358843e+04 
       4.234095473325e-02       1.650671342986e+04 
       4.258604821881e-02       1.642394551822e+04 
       4.283584496037e-02       1.634084881717e+04 
       4.309061391601e-02       1.625775397612e+04 
       4.335064616250e-02       1.617418103378e+04 
       4.361625732122e-02       1.609015563263e+04 
       4.388779031791e-02       1.600558441648e+04 
       4.416561853181e-02       1.592082591167e+04 
       4.445014940017e-02       1.583550577796e+04 
       4.474182855748e-02       1.574990234080e+04 
       4.504114460482e-02       1.566348164925e+04 
       4.534863462462e-02       1.557661777592e+04 
       4.566489058064e-02       1.548915250650e+04 
       4.599056677356e-02       1.540129105167e+04 
       4.632638856076e-02       1.531245902673e+04 
       4.667316259641e-02       1.522262245503e+04 
       4.703178890827e-02       1.513273626539e+04 
       4.740327520308e-02       1.504086309297e+04 
       4.778875388877e-02       1.494858865237e+04 
       4.818950242347e-02       1.485513013620e+04 
       4.860696775677e-02       1.476027188195e+04 
       4.904279582663e-02       1.466480812480e+04 
       4.949886732785e-02       1.456706012524e+04 
       4.997734128828e-02       1.446811865103e+04 
       5.048070839391e-02       1.436770262996e+04 
       5.101185650780e-02       1.426483469554e+04 
       5.157415144270e-02       1.415973905190e+04 
       5.217153676666e-02       1.405179339167e+04 
       5.280865720143e-02       1.394134428821e+04 
       5.349101088344e-02       1.382655307096e+04 
       5.422513608704e-02       1.370813932187e+04 
       5.501883729220e-02       1.358373273258e+04 
       5.588145236570e-02       1.345362759408e+04 
       5.682415452572e-02       1.331685906280e+04 
       5.786026499612e-02       1.316908146439e+04 
       5.900551710833e-02       1.301034352800e+04 
       6.027814938460e-02       1.283602874748e+04 
       6.169860490694e-02       1.264118248786e+04 
       6.328848784237e-02       1.241978671163e+04 
       6.506834881745e-02       1.216525238020e+04 
       6.705403289043e-02       1.186843401449e+04 
       6.925200882079e-02       1.152076685639e+04 
       7.165531744793e-02       1.111777404239e+04 
       7.424263906561e-02       1.065857590232e+04 
       7.698195376572e-02       1.015151915856e+04 
       7.983737621682e-02       9.610879214232e+03 
       8.277571687314e-02       9.057435617360e+03 
       8.577022923879e-02       8.512453178140e+03 
       8.880136681862e-02       7.995663233914e+03 
       9.185577035280e-02       7.522655852061e+03 
       9.492470457676e-02       7.103396029354e+03 
       9.800261769153e-02       6.743121422943e+03 
       1.010860435929e-01       6.441248394081e+03 
       1.041728420568e-01       6.193315116972e+03 
       1.072617003975e-01       5.991162003271e+03 
       1.103518167061e-01       5.824973719553e+03 
       1.134427022163e-01       5.683381767221e+03 
       1.165340593628e-01       5.555006501161e+03 
       1.196257070439e-01       5.429832449454e+03 
       1.227175350003e-01       5.298314849665e+03 
       1.258094760339e-01       5.155163531281e+03 
       1.289014891147e-01       4.996737659156e+03 
       1.319935491167e-01       4.822855078204e+03 
       1.350856405840e-01       4.636093438961e+03 
       1.381777539464e-01       4.440474056579e+03 
       1.412698832199e-01       4.241833721167e+03 
       1.443620246112e-01       4.046115161286e+03 
       1.474541756687e-01       3.859032293803e+03 
       1.505463347671e-01       3.685527673009e+03 
       1.536385007925e-01       3.528839015337e+03 
       1.567306729516e-01       3.390942738736e+03 
       1.598228506539e-01       3.272219345178e+03 
       1.629150334402e-01       3.171613402544e+03 
       1.660072209383e-01       3.087095248871e+03 
       1.690994128354e-01       3.015590720773e+03 
       1.721916088606e-01       2.953548602741e+03 
       1.752838087744e-01       2.897513352944e+03 
       1.783760123611e-01       2.844404198875e+03 
       1.814682194241e-01       2.790544112938e+03 
       1.845604297831e-01       2.733602563015e+03 
       1.876526432711e-01       2.671528855772e+03 
       1.907448597330e-01       2.603824102370e+03 
       1.938370790246e-01       2.530831749881e+03 
       1.969293010108e-01       2.453759521838e+03 
       2.000215255654e-01       2.373993343336e+03 
       2.031137525699e-01       2.293867611850e+03 
       2.062059819133e-01       2.215285441979e+03 
       2.092982134909e-01       2.139937348272e+03 
       2.123904472046e-01       2.069261158599e+03 
       2.154826829615e-01       2.004333151911e+03 
       2.185749206744e-01       1.945548584294e+03 
       2.216671602608e-01       1.893204126967e+03 
       2.247594016429e-01       1.846899169465e+03 
       2.278516447471e-01       1.806112801398e+03 
       2.309438895037e-01       1.769806225661e+03 
       2.340361358468e-01       1.736933337632e+03 
       2.371283837139e-01       1.706325938132e+03 
       2.402206330459e-01       1.676630869469e+03 
       2.433128837864e-01       1.646989722112e+03 
       2.464051358822e-01       1.616592332700e+03 
       2.494973892826e-01       1.584907446276e+03 
       2.525896439393e-01       1.551724631064e+03 
       2.556818998064e-01       1.517049704629e+03 
       2.587741568404e-01       1.481141364779e+03 
       2.618664149997e-01       1.444430053281e+03 
       2.649586742446e-01       1.407598890352e+03 
       2.680509345373e-01       1.371066386062e+03 
       2.711431958418e-01       1.335641809811e+03 
       2.742354581237e-01       1.301846407905e+03 
       2.773277213501e-01       1.270031458601e+03 
       2.804199854896e-01       1.240413164951e+03 
       2.835122505121e-01       1.213185084339e+03 
       2.866045163889e-01       1.188205642058e+03 
       2.896967830925e-01       1.165245760126e+03 
       2.927890505966e-01       1.144035857230e+03 
       2.958813188759e-01       1.124139675563e+03 
       2.989735879063e-01       1.105253133868e+03 
       3.020658576646e-01       1.086963622911e+03 
       3.051581281285e-01       1.068936248829e+03 
       3.082503992767e-01       1.050915246847e+03 
       3.113426710887e-01       1.032674570098e+03 
       3.144349435449e-01       1.014045139556e+03 
       3.175272166262e-01       9.951257440069e+02 
       3.206194903146e-01       9.759355312511e+02 
       3.237117645926e-01       9.565899098553e+02 
       3.268040394433e-01       9.372905437506e+02 
       3.298963148506e-01       9.182402394515e+02 
       3.329885907989e-01       8.996013106111e+02 
       3.360808672732e-01       8.815379005131e+02 
       3.391731442590e-01       8.641884113230e+02 
       3.422654217424e-01       8.476541631494e+02 
       3.453576997100e-01       8.319442715299e+02 
       3.484499781489e-01       8.170958309869e+02 
       3.515422570464e-01       8.030636386517e+02 
       3.546345363907e-01       7.897535508859e+02 
       3.577268161701e-01       7.770937973554e+02 
       3.608190963733e-01       7.649030295610e+02 
       3.639113769894e-01       7.530105938140e+02 
       3.670036580081e-01       7.413871269715e+02 
       3.700959394191e-01       7.298965772932e+02 
       3.731882212127e-01       7.184834318627e+02 
       3.762805033793e-01       7.071268365243e+02 
       3.793727859100e-01       6.957219074730e+02 
       3.824650687957e-01       6.843970330983e+02 
       3.855573520279e-01       6.730925577609e+02 
       3.886496355983e-01       6.618612570702e+02 
       3.917419194988e-01       6.507449489229e+02 
       3.948342037218e-01       6.398748639919e+02 
       3.979264882595e-01       6.292037659813e+02 
       4.010187731048e-01       6.188497172889e+02 
       4.041110582504e-01       6.088524453406e+02 
       4.072033436897e-01       5.991647481788e+02 
       4.102956294158e-01       5.897875311942e+02 
       4.133879154224e-01       5.807608489140e+02 
       4.164802017031e-01       5.720443916101e+02 
       4.195724882519e-01       5.636326436261e+02 
       4.226647750629e-01       5.554481817883e+02 
       4.257570621303e-01       5.474820160608e+02 
       4.288493494486e-01       5.396904620609e+02 
       4.319416370124e-01       5.320776852835e+02 
       4.350339248164e-01       5.245869784845e+02 
       4.381262128555e-01       5.171774834420e+02 
       4.412185011247e-01       5.098279004656e+02 
       4.443107896193e-01       5.025622450236e+02 
       4.474030783345e-01       4.953745373980e+02 
       4.504953672657e-01       4.882899698291e+02 
       4.535876564086e-01       4.812540488182e+02 
       4.566799457589e-01       4.743404966009e+02 
       4.597722353123e-01       4.675502993931e+02 
       4.628645250647e-01       4.608922585751e+02 
       4.659568150122e-01       4.543363975263e+02 
       4.690491051509e-01       4.479586066601e+02 
       4.721413954771e-01       4.417444091775e+02 
       4.752336859870e-01       4.356981431933e+02 
       4.783259766771e-01       4.298171831364e+02 
       4.814182675439e-01       4.240914842485e+02 
       4.845105585840e-01       4.185260540361e+02 
       4.876028497941e-01       4.130677893404e+02 
       4.906951411709e-01       4.077027543755e+02 
       4.937874327115e-01       4.024622507371e+02 
       4.968797244125e-01       3.973029057604e+02 
       4.999720162712e-01       3.922394682740e+02 
       5.030643082845e-01       3.872152985432e+02 
       5.061566004497e-01       3.822704625849e+02 
       5.092488927639e-01       3.773905816128e+02 
       5.123411852244e-01       3.725702621852e+02 
       5.154334778287e-01       3.678128165552e+02 
       5.185257705741e-01       3.631256713882e+02 
       5.216180634580e-01       3.585267331555e+02 
       5.247103564782e-01       3.540024216050e+02 
       5.278026496320e-01       3.495542462033e+02 
       5.308949429173e-01       3.451827422910e+02 
       5.339872363317e-01       3.409081457444e+02 
       5.370795298730e-01       3.367191051763e+02 
       5.401718235389e-01       3.326120432970e+02 
       5.432641173274e-01       3.285858645075e+02 
       5.463564112364e-01       3.246384756850e+02 
       5.494487052638e-01       3.207680211087e+02 
       5.525409994077e-01       3.169750142255e+02 
       5.556332936660e-01       3.132434467891e+02 
       5.587255880369e-01       3.095669567653e+02 
       5.618178825185e-01       3.059561059149e+02 
       5.649101771091e-01       3.023914231479e+02 
       5.680024718067e-01       2.988807393207e+02 
       5.710947666097e-01       2.954220766866e+02 
       5.741870615164e-01       2.920145381203e+02 
       5.772793565250e-01       2.886575097677e+02 
       5.803716516340e-01       2.853491932818e+02 
       5.834639468418e-01       2.820998242117e+02 
       5.865562421467e-01       2.788894287430e+02 
       5.896485375473e-01       2.757087554237e+02 
       5.927408330420e-01       2.726061660500e+02 
       5.958331286295e-01       2.695333974060e+02 
       5.989254243082e-01       2.665218345968e+02 
       6.020177200767e-01       2.635626592823e+02 
       6.051100159337e-01       2.606532832807e+02 
       6.082023118777e-01       2.577924060261e+02 
       6.112946079076e-01       2.549770241374e+02 
       6.143869040219e-01       2.522058154735e+02 
       6.174792002194e-01       2.494782804016e+02 
       6.205714964989e-01       2.467930389493e+02 
       6.236637928592e-01       2.441461808322e+02 
       6.267560892989e-01       2.415468845383e+02 
       6.298483858171e-01       2.389781907955e+02 
       6.329406824124e-01       2.364611862541e+02 
       6.360329790838e-01       2.339541703953e+02 
       6.391252758302e-01       2.314939708841e+02 
       6.422175726505e-01       2.290622459007e+02 
       6.453098695437e-01       2.266806329895e+02 
       6.484021665086e-01       2.243134679120e+02 
       6.514944635442e-01       2.219972528409e+02 
       6.545867606497e-01       2.197047058545e+02 
       6.576790578238e-01       2.174463105697e+02 
       6.607713550658e-01       2.152176164950e+02 
       6.638636523747e-01       2.130199016112e+02 
       6.669559497494e-01       2.108572248129e+02 
       6.700482471892e-01       2.087273562653e+02 
       6.731405446930e-01       2.066282481837e+02 
       6.762328422601e-01       2.045615965030e+02 
       6.793251398895e-01       2.025247442355e+02 
       6.824174375805e-01       2.005149067560e+02 
       6.855097353321e-01       1.985339725141e+02 
       6.886020331436e-01       1.965763263378e+02 
       6.916943310141e-01       1.946555979053e+02 
       6.947866289429e-01       1.927548722719e+02 
       6.978789269292e-01       1.908724354850e+02 
       7.009712249722e-01       1.890282637434e+02 
       7.040635230711e-01       1.871966613468e+02 
       7.071558212253e-01       1.853945944097e+02 
       7.102481194340e-01       1.836147256022e+02 
       7.133404176965e-01       1.818668219492e+02 
       7.164327160122e-01       1.801317790973e+02 
       7.195250143802e-01       1.784204388939e+02 
       7.226173128000e-01       1.767261494064e+02 
       7.257096112708e-01       1.750662017607e+02 
       7.288019097921e-01       1.734230121005e+02 
       7.318942083632e-01       1.718035736423e+02 
       7.349865069835e-01       1.702043869233e+02 
       7.380788056523e-01       1.686253795540e+02 
       7.411711043690e-01       1.670666279788e+02 
       7.442634031330e-01       1.655299363041e+02 
       7.473557019438e-01       1.640128374132e+02 
       7.504480008008e-01       1.625149360192e+02 
       8.276793463724e-01       1.305502129727e+02 
       9.440529992796e-01       9.692334376987e+01 
       1.132659794827e+00       6.376340195026e+01 
