# Matter power spectrum P(k) at redshift z=0
# for k=1.04206e-05 to 1.08688 h/Mpc,
# number of wavenumbers equal to 603
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042057218184e-05       4.833539624974e+01 
       2.326967376526e-05       1.050303802466e+02 
       3.616372963947e-05       1.608014544542e+02 
       4.913726058908e-05       2.162208252474e+02 
       6.222535549630e-05       2.716181676212e+02 
       7.546398267914e-05       3.272430257852e+02 
       8.889031113686e-05       3.833103858149e+02 
       1.025430459556e-04       4.400194324321e+02 
       1.164627821606e-04       4.975631686543e+02 
       1.306923813332e-04       5.561343124065e+02 
       1.452773753209e-04       6.159293938267e+02 
       1.602664013077e-04       6.771519819515e+02 
       1.757116723447e-04       7.400154999838e+02 
       1.916694870808e-04       8.047456742897e+02 
       2.082007817954e-04       8.715831943498e+02 
       2.253717267954e-04       9.407859682362e+02 
       2.432543676180e-04       1.012631745989e+03 
       2.619273090887e-04       1.087420419815e+03 
       2.814764368350e-04       1.165476786609e+03 
       3.019956660435e-04       1.247152983118e+03 
       3.235877006993e-04       1.332830611444e+03 
       3.463647778621e-04       1.422923426036e+03 
       3.704493603543e-04       1.517878715085e+03 
       3.959747272868e-04       1.618178805912e+03 
       4.230853951560e-04       1.724341320119e+03 
       4.519372832768e-04       1.836918586791e+03 
       4.826975173611e-04       1.956495072391e+03 
       5.155437465279e-04       2.083683017128e+03 
       5.506628358540e-04       2.219115459798e+03 
       5.882487943983e-04       2.363436122829e+03 
       6.284998145830e-04       2.517285906874e+03 
       6.716143406905e-04       2.681286036914e+03 
       7.177861584853e-04       2.856017565356e+03 
       7.671986067553e-04       3.041998077823e+03 
       8.200181490390e-04       3.239656393986e+03 
       8.763876930455e-04       3.449308120902e+03 
       9.364201778720e-04       3.671132065047e+03 
       1.000193029296e-03       3.905152327498e+03 
       1.067744077653e-03       4.151226243001e+03 
       1.139069422528e-03       4.409040909736e+03 
       1.214123521084e-03       4.678119529578e+03 
       1.292821508324e-03       4.957835211662e+03 
       1.375043484184e-03       5.247421526927e+03 
       1.460640282666e-03       5.546020902301e+03 
       1.549440114178e-03       5.852721980724e+03 
       1.641255457310e-03       6.166561066009e+03 
       1.735889655132e-03       6.486563365557e+03 
       1.833142809841e-03       6.811765128617e+03 
       1.932816729317e-03       7.141233805654e+03 
       2.034718827560e-03       7.474081243668e+03 
       2.138664998307e-03       7.809475696059e+03 
       2.244481560134e-03       8.146646478914e+03 
       2.352006414304e-03       8.484886398063e+03 
       2.461089570942e-03       8.823553922866e+03 
       2.571593193781e-03       9.162068472630e+03 
       2.683391296900e-03       9.499910252134e+03 
       2.796369204942e-03       9.836614626690e+03 
       2.910422865544e-03       1.017176752750e+04 
       3.025458081673e-03       1.050500286088e+04 
       3.141389713497e-03       1.083599572415e+04 
       3.258140884718e-03       1.116445997999e+04 
       3.375642216713e-03       1.149014362439e+04 
       3.493831105161e-03       1.181282494423e+04 
       3.612651047396e-03       1.213231021010e+04 
       3.732051024208e-03       1.244842963359e+04 
       3.851984936650e-03       1.276103617472e+04 
       3.972411096403e-03       1.307000191448e+04 
       4.093291766891e-03       1.337521718636e+04 
       4.214592751694e-03       1.367658794557e+04 
       4.336283026372e-03       1.397403478330e+04 
       4.458334409815e-03       1.426749108775e+04 
       4.580721271248e-03       1.455690218354e+04 
       4.703420269259e-03       1.484221822493e+04 
       4.826410119451e-03       1.512336225243e+04 
       4.949671387590e-03       1.540040943278e+04 
       5.073186305432e-03       1.567325717723e+04 
       5.196938606661e-03       1.594191455833e+04 
       5.320913380673e-03       1.620641166352e+04 
       5.445096942154e-03       1.646675030469e+04 
       5.569476714656e-03       1.672287564103e+04 
       5.694041126572e-03       1.697405574538e+04 
       5.818779518084e-03       1.722180836248e+04 
       5.943682057842e-03       1.746538824001e+04 
       6.068739668277e-03       1.770477152366e+04 
       6.193943958564e-03       1.794010019803e+04 
       6.319287164388e-03       1.817147933581e+04 
       6.444762093754e-03       1.839894642521e+04 
       6.570362078173e-03       1.862183232462e+04 
       6.696080928642e-03       1.884077068498e+04 
       6.821912895890e-03       1.905564093231e+04 
       6.947852634446e-03       1.926660828385e+04 
       7.073895170104e-03       1.947361665573e+04 
       7.200035870447e-03       1.967664126445e+04 
       7.326270418095e-03       1.987576245888e+04 
       7.452594786405e-03       2.007084640363e+04 
       7.579005217378e-03       2.026227571320e+04 
       7.705498201531e-03       2.045037915919e+04 
       7.832070459557e-03       2.063414807877e+04 
       7.958718925593e-03       2.081413793763e+04 
       8.085440731924e-03       2.099039230602e+04 
       8.212233195007e-03       2.116299298301e+04 
       8.339093802667e-03       2.133190409127e+04 
       8.466020202373e-03       2.149717683128e+04 
       8.593010190477e-03       2.165884591818e+04 
       8.720061702340e-03       2.181695612063e+04 
       8.847172803251e-03       2.197153775249e+04 
       8.974341680084e-03       2.212259009514e+04 
       9.101566633608e-03       2.227021707928e+04 
       9.228846071407e-03       2.241442215327e+04 
       9.356178501349e-03       2.255522599301e+04 
       9.483562525558e-03       2.269268529995e+04 
       9.610996834852e-03       2.282682295437e+04 
       9.738480203593e-03       2.295770803555e+04 
       9.866011484932e-03       2.308522558956e+04 
       9.993589606404e-03       2.320956088824e+04 
       1.012121356585e-02       2.333071509508e+04 
       1.024888242764e-02       2.344868258797e+04 
       1.037659531916e-02       2.356361035342e+04 
       1.050435142758e-02       2.367535359250e+04 
       1.063214999681e-02       2.378396883202e+04 
       1.075999032471e-02       2.388968410224e+04 
       1.088787176051e-02       2.399225929864e+04 
       1.101579370235e-02       2.409191718187e+04 
       1.114375559508e-02       2.418864465628e+04 
       1.127175692811e-02       2.428247988831e+04 
       1.139979723352e-02       2.437339942019e+04 
       1.152787608424e-02       2.446147819459e+04 
       1.165599309233e-02       2.454675071329e+04 
       1.178414790747e-02       2.462924651644e+04 
       1.191234021548e-02       2.470897945501e+04 
       1.204056973694e-02       2.478605894701e+04 
       1.216883622598e-02       2.486024508620e+04 
       1.229713946909e-02       2.493190430469e+04 
       1.242547928400e-02       2.500089226963e+04 
       1.255385551873e-02       2.506730728580e+04 
       1.268226805060e-02       2.513113113334e+04 
       1.281071678538e-02       2.519244124144e+04 
       1.293920165651e-02       2.525118818834e+04 
       1.306772262429e-02       2.530747214091e+04 
       1.319627967526e-02       2.536129471345e+04 
       1.332487282152e-02       2.541274150364e+04 
       1.345350210015e-02       2.546170099853e+04 
       1.358216757269e-02       2.550830432618e+04 
       1.371086932460e-02       2.555253680861e+04 
       1.383960746488e-02       2.559436949791e+04 
       1.396838212557e-02       2.563401119255e+04 
       1.409719346145e-02       2.567135920287e+04 
       1.422604164965e-02       2.570649071330e+04 
       1.435492688938e-02       2.573947831025e+04 
       1.448384940161e-02       2.577018887158e+04 
       1.461280942891e-02       2.579872025862e+04 
       1.474180723514e-02       2.582515642897e+04 
       1.487084310533e-02       2.584950384936e+04 
       1.499991734553e-02       2.587103529251e+04 
       1.512903028262e-02       2.589191525131e+04 
       1.525818226427e-02       2.591018564148e+04 
       1.538737365882e-02       2.592628576376e+04 
       1.551660485524e-02       2.594048722314e+04 
       1.564587626308e-02       2.595267595952e+04 
       1.577518831247e-02       2.596299201610e+04 
       1.590454145413e-02       2.597141171243e+04 
       1.603393615938e-02       2.597802740373e+04 
       1.616337292021e-02       2.598269097901e+04 
       1.629285224932e-02       2.598565225210e+04 
       1.642237468024e-02       2.598671803692e+04 
       1.655194076742e-02       2.598597043028e+04 
       1.668155108635e-02       2.598343811829e+04 
       1.681120623368e-02       2.597925773175e+04 
       1.694090682744e-02       2.597336280233e+04 
       1.707065350717e-02       2.596497355641e+04 
       1.720044693410e-02       2.595653865508e+04 
       1.733028779142e-02       2.594568380393e+04 
       1.746017678444e-02       2.593320802302e+04 
       1.759011464089e-02       2.591914696566e+04 
       1.772010211114e-02       2.590358310120e+04 
       1.785013996851e-02       2.588638911956e+04 
       1.798022900954e-02       2.586764588194e+04 
       1.811037005432e-02       2.584751413143e+04 
       1.824056394678e-02       2.582580074189e+04 
       1.837081155511e-02       2.580260764578e+04 
       1.850111377203e-02       2.577731011430e+04 
       1.863147151523e-02       2.575207225604e+04 
       1.876188572773e-02       2.572401297751e+04 
       1.889235737834e-02       2.569601745423e+04 
       1.902288746202e-02       2.566539511514e+04 
       1.915347700039e-02       2.563456293895e+04 
       1.928412704214e-02       2.560135599868e+04 
       1.941483866358e-02       2.556660973120e+04 
       1.954561296905e-02       2.553279501362e+04 
       1.967645109154e-02       2.549620538099e+04 
       1.980735419314e-02       2.545867631171e+04 
       1.993832346565e-02       2.541959374224e+04 
       2.006936013115e-02       2.537900994258e+04 
       2.020046544259e-02       2.533846192868e+04 
       2.033164068438e-02       2.529610097930e+04 
       2.046288717307e-02       2.525189294703e+04 
       2.059420625801e-02       2.520700284631e+04 
       2.072559932200e-02       2.516129748331e+04 
       2.085706778199e-02       2.511476452778e+04 
       2.098861308985e-02       2.506778704873e+04 
       2.112023673309e-02       2.501856546072e+04 
       2.125194023562e-02       2.496819684370e+04 
       2.138372515859e-02       2.491751171321e+04 
       2.151559310117e-02       2.486576860290e+04 
       2.164754570143e-02       2.481310855623e+04 
       2.177958463719e-02       2.475962674690e+04 
       2.191171162697e-02       2.470509699650e+04 
       2.204392843087e-02       2.464967089264e+04 
       2.217623685155e-02       2.459320932791e+04 
       2.230863873524e-02       2.453703213286e+04 
       2.244113597274e-02       2.447814812247e+04 
       2.257373050049e-02       2.442001566784e+04 
       2.270642430165e-02       2.435968789356e+04 
       2.283921940721e-02       2.429975031628e+04 
       2.297211789718e-02       2.423809029937e+04 
       2.310512190176e-02       2.417686333943e+04 
       2.323823360255e-02       2.411344791163e+04 
       2.337145523388e-02       2.405008462663e+04 
       2.350478908406e-02       2.398597073724e+04 
       2.363823749676e-02       2.392122621751e+04 
       2.377180287240e-02       2.385627497070e+04 
       2.390548766959e-02       2.378954714417e+04 
       2.403929440661e-02       2.372275896586e+04 
       2.417322566294e-02       2.365517740824e+04 
       2.430728408084e-02       2.358712532647e+04 
       2.444147236701e-02       2.351909310404e+04 
       2.457579329423e-02       2.344989004278e+04 
