# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.383172845218e-10       4.188756845573e-15       3.524571981910e-13       2.309832050483e-19       8.259033851802e-09       4.553139989110e-10      -1.844742697982e-12 
    3       1.308821343738e-10       5.367659292550e-15       3.963149004229e-13       4.620615654349e-19       5.083553747790e-09       3.230129524787e-10      -1.397223213678e-12 
    4       1.239006322156e-10       4.641088303597e-15       3.707427116728e-13       7.703121524309e-19       3.535296953197e-09       2.446477362104e-10      -9.145828158565e-13 
    5       1.187107775325e-10       3.094661523429e-15       3.157805089249e-13       1.155856571423e-18       2.639910494014e-09       1.932470393574e-10      -5.082341741843e-13 
    6       1.151920382329e-10       1.729754461035e-15       2.543365032324e-13       1.618842424082e-18       2.063035176464e-09       1.572120901632e-10      -2.089405212951e-13 
    7       1.129396477962e-10       9.347606809150e-16       1.996718102456e-13       2.159440569975e-18       1.665160879727e-09       1.307589330529e-10      -1.818675040773e-14 
    8       1.116692861502e-10       6.035700505682e-16       1.576134721462e-13       2.777842029562e-18       1.376842582615e-09       1.106933782384e-10       7.898738762633e-14 
    9       1.111301667267e-10       4.850412935791e-16       1.294732959527e-13       3.474254620395e-18       1.159790207232e-09       9.512173627389e-11       1.059736943023e-13 
   10       1.110891117985e-10       4.142116269977e-16       1.139400414385e-13       4.248899424768e-18       9.914702914640e-10       8.278649539898e-11       8.869140386257e-14 
   11       1.114864430574e-10       3.495375398891e-16       1.083515916828e-13       5.102007190099e-18       8.355325879672e-10       7.312931552683e-11       5.132269553018e-14 
   12       1.121696618955e-10       3.064053490439e-16       1.096385653590e-13       6.033814762831e-18       7.301395900262e-10       6.463501371244e-11       1.148098490028e-14 
   13       1.130878184216e-10       2.954545089918e-16       1.150999285766e-13       7.044561652629e-18       6.436032830126e-10       5.774218140618e-11      -1.878076408181e-14 
   14       1.141936666213e-10       3.084670636763e-16       1.226992632983e-13       8.134486816402e-18       5.715937275205e-10       5.173813800576e-11      -3.521246174140e-14 
   15       1.154738502690e-10       3.337001024999e-16       1.311346872423e-13       9.303825741378e-18       5.109708421817e-10       4.669070601990e-11      -3.803959836904e-14 
   16       1.168533883020e-10       3.688233432990e-16       1.397356831257e-13       1.055280789362e-17       4.594205043674e-10       4.234351072476e-11      -3.125497325116e-14 
   17       1.183600638424e-10       4.195747575520e-16       1.482823013474e-13       1.188165458339e-17       4.151943171959e-10       3.854940289538e-11      -2.009730965017e-14 
   18       1.199310159762e-10       4.914804597640e-16       1.570332209082e-13       1.329057710110e-17       3.768048326495e-10       3.524101017849e-11      -9.489347291225e-15 
   19       1.215780391211e-10       5.848441166281e-16       1.662130521448e-13       1.477977641067e-17       3.436447823189e-10       3.237122202813e-11      -2.051028035452e-15 
   20       1.232944712403e-10       6.976020934938e-16       1.759659012136e-13       1.634944039350e-17       3.144370607441e-10       2.982392033624e-11       5.023500080402e-16 
   21       1.250823485192e-10       8.290917668953e-16       1.862457930888e-13       1.799974636700e-17       2.887237726874e-10       2.755292003511e-11      -1.245494776933e-15 
   22       1.269161107561e-10       9.788154415739e-16       1.968660833545e-13       1.973085806136e-17       2.658906961121e-10       2.550155397309e-11      -5.518021429395e-15 
   23       1.288011829754e-10       1.146971712353e-15       2.074977338799e-13       2.154292955940e-17       2.456244861201e-10       2.366148971621e-11      -1.055224779493e-14 
   24       1.307317443496e-10       1.333789524628e-15       2.177233379933e-13       2.343610222088e-17       2.274571641019e-10       2.201638690995e-11      -1.447311672115e-14 
   25       1.327104078188e-10       1.539335407563e-15       2.272529257470e-13       2.541051028663e-17       2.111753474380e-10       2.054519829509e-11      -1.644013490791e-14 
   26       1.347265511697e-10       1.763862797342e-15       2.358379434337e-13       2.746627717078e-17       1.964845982753e-10       1.921104145552e-11      -1.611315583768e-14 
   27       1.367756165258e-10       2.009398496755e-15       2.433600218582e-13       2.960352083231e-17       1.832087967534e-10       1.799693814154e-11      -1.411149097530e-14 
   28       1.388462548685e-10       2.278497834755e-15       2.497725580030e-13       3.182235124187e-17       1.711191526834e-10       1.688441052217e-11      -1.144917407115e-14 
