# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.385727751229e-10       4.197027709771e-15       3.530234707194e-13       2.416143494257e-19       8.339000513591e-09       4.590209876006e-10      -1.846819919277e-12 
    3       1.312072170536e-10       5.380901888091e-15       3.973451181532e-13       4.833328166480e-19       5.140644747338e-09       3.262900274940e-10      -1.399368340504e-12 
    4       1.242889884111e-10       4.655583015654e-15       3.721479103491e-13       8.057839383581e-19       3.580034471106e-09       2.475576473986e-10      -9.165046707691e-13 
    5       1.191628149770e-10       3.107762548110e-15       3.174424410208e-13       1.209100675853e-18       2.676036631990e-09       1.958428206776e-10      -5.098705575972e-13 
    6       1.157136190729e-10       1.740358111900e-15       2.561619653702e-13       1.693444331167e-18       2.092759089525e-09       1.595373728508e-10      -2.103280864827e-13 
    7       1.135374376773e-10       9.428613941321e-16       2.016236180383e-13       2.259001504036e-18       1.690112954545e-09       1.328510948381e-10      -1.939916342518e-14 
    8       1.123572004592e-10       6.098380859994e-16       1.597093634582e-13       2.905980653030e-18       1.398209163501e-09       1.125866221231e-10       7.788230385871e-14 
    9       1.119215891383e-10       4.905821610483e-16       1.317707318541e-13       3.634608363948e-18       1.178403108491e-09       9.684661851478e-11       1.049389418221e-13 
   10       1.119957172269e-10       4.202827982200e-16       1.165183476047e-13       4.445125435655e-18       1.007906384237e-09       8.436572064928e-11       8.772795427944e-14 
   11       1.125242819128e-10       3.572095617446e-16       1.112925722712e-13       5.337782896703e-18       8.505637361836e-10       7.459451240481e-11       5.047779344415e-14 
   12       1.133488954051e-10       3.163889216075e-16       1.130149608826e-13       6.312838065218e-18       7.436650258548e-10       6.598102222771e-11       1.077304906831e-14 
   13       1.144212706175e-10       3.082359536455e-16       1.189771292988e-13       7.370550759751e-18       6.558432913563e-10       5.897952303820e-11      -1.931120929824e-14 
   14       1.156942540610e-10       3.246214820264e-16       1.271314935125e-13       8.511179760269e-18       5.827240620967e-10       5.288319396839e-11      -3.556172928865e-14 
   15       1.171525305293e-10       3.541095620519e-16       1.361640471147e-13       9.734979606555e-18       5.211347733773e-10       4.775167593069e-11      -3.822625248153e-14 
   16       1.187151357436e-10       3.946515875633e-16       1.453985171267e-13       1.104219780653e-17       4.687359569236e-10       4.332312810350e-11      -3.133197444285e-14 
   17       1.204161514512e-10       4.521046213093e-16       1.546055228659e-13       1.243307250987e-17       4.237593328654e-10       3.945450434330e-11      -2.013337413146e-14 
   18       1.221871106381e-10       5.319686870489e-16       1.640426317716e-13       1.390783048011e-17       3.847001301246e-10       3.608024855466e-11      -9.559731732282e-15 
   19       1.240384289298e-10       6.345702045357e-16       1.739304512551e-13       1.546668680708e-17       3.509448713869e-10       3.315200098058e-11      -2.219659289745e-15 
   20       1.259648053549e-10       7.578951969300e-16       1.844066939444e-13       1.710984186151e-17       3.211999323705e-10       3.055032841143e-11       1.972572887005e-16 
   21       1.279669219245e-10       9.014219055890e-16       1.954203676471e-13       1.883748414046e-17       2.950024501495e-10       2.822819397296e-11      -1.695099452771e-15 
   22       1.300170427117e-10       1.064816755742e-15       2.067800689911e-13       2.064978692145e-17       2.717296996576e-10       2.612840966111e-11      -6.085812474112e-15 
   23       1.321202978700e-10       1.248353779463e-15       2.181518600561e-13       2.254691263133e-17       2.510646651323e-10       2.424351358047e-11      -1.119318032841e-14 
   24       1.342710292446e-10       1.452311710704e-15       2.291141328499e-13       2.452900944207e-17       2.325327341902e-10       2.255792493985e-11      -1.513091235824e-14 
   25       1.364705754364e-10       1.676870327358e-15       2.393766831769e-13       2.659621740103e-17       2.159178633886e-10       2.105004635173e-11      -1.706246245195e-14 
   26       1.387066482302e-10       1.922424295854e-15       2.486922985246e-13       2.874866435029e-17       2.009212167524e-10       1.968171834965e-11      -1.666185116867e-14 
   27       1.409740477545e-10       2.191159567202e-15       2.569419306833e-13       3.098647174312e-17       1.873642629109e-10       1.843553064961e-11      -1.457476204888e-14 
   28       1.432611339160e-10       2.485792888525e-15       2.640785756530e-13       3.330975182035e-17       1.750146879875e-10       1.729271298280e-11      -1.184566769389e-14 
