# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.726348803053e-10       8.397288687682e-15       2.684991132959e-13       0.000000000000e+00       8.693993189953e-11       9.018465865351e-12      -7.497198173284e-15 
   41       1.752198202631e-10       9.124308988997e-15       2.601950867242e-13       0.000000000000e+00       8.262890865170e-11       8.611223468032e-12      -7.003210892937e-15 
   42       1.778234002160e-10       9.891000861006e-15       2.504823922937e-13       0.000000000000e+00       7.859660490694e-11       8.223791576736e-12      -6.982002922900e-15 
   43       1.804486209521e-10       1.069792869957e-14       2.393100871205e-13       0.000000000000e+00       7.483239992534e-11       7.857805403098e-12      -7.284087254680e-15 
   44       1.830950269727e-10       1.154557346539e-14       2.266241858969e-13       0.000000000000e+00       7.130902953822e-11       7.513916117766e-12      -7.721796969131e-15 
   45       1.857603455901e-10       1.243437741311e-14       2.123696614543e-13       0.000000000000e+00       6.799234186400e-11       7.191919082190e-12      -8.110917032908e-15 
   46       1.884468035670e-10       1.336490487268e-14       1.964979062590e-13       0.000000000000e+00       6.487716543185e-11       6.891398131363e-12      -8.415979731150e-15 
   47       1.911561105961e-10       1.433772184892e-14       1.789609626794e-13       0.000000000000e+00       6.195990987594e-11       6.611119523124e-12      -8.644394760059e-15 
   48       1.938874127687e-10       1.535334930814e-14       1.597092206542e-13       0.000000000000e+00       5.922774661626e-11       6.348753552304e-12      -8.806400200880e-15 
   49       1.966370610391e-10       1.641226149571e-14       1.386912343293e-13       0.000000000000e+00       5.665792175346e-11       6.100796404477e-12      -8.915237365864e-15 
   50       1.994007843532e-10       1.751485702970e-14       1.158585321087e-13       0.000000000000e+00       5.422461506378e-11       5.863568571408e-12      -8.987449643396e-15 
   51       2.021814416043e-10       1.866136683471e-14       9.118201142766e-14       0.000000000000e+00       5.192330594632e-11       5.636710889627e-12      -9.043469021227e-15 
   52       2.049829736330e-10       1.985191830959e-14       6.463967720047e-14       0.000000000000e+00       4.975183363332e-11       5.420502381431e-12      -9.107491000296e-15 
   53       2.078080669010e-10       2.108655747403e-14       3.621208775072e-14       0.000000000000e+00       4.770310502802e-11       5.214839800526e-12      -9.207540904947e-15 
   54       2.106580351155e-10       2.236524600510e-14       5.882406432020e-15       0.000000000000e+00       4.576476271007e-11       5.019210147507e-12      -9.375654564137e-15 
   55       2.135333821515e-10       2.368791079806e-14      -2.636326543402e-14       0.000000000000e+00       4.392295685190e-11       4.832935253363e-12      -9.637717877698e-15 
   56       2.164359257680e-10       2.505461385595e-14      -6.053491114761e-14       0.000000000000e+00       4.217551882187e-11       4.656039646085e-12      -9.979615828357e-15 
   57       2.193669941239e-10       2.646541941344e-14      -9.663924281345e-14       0.000000000000e+00       4.052147867243e-11       4.488550139459e-12      -1.037299063492e-14 
   58       2.223267008703e-10       2.792034421285e-14      -1.346799001653e-13       0.000000000000e+00       3.895707959887e-11       4.330226137350e-12      -1.078462871180e-14 
