# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.384686676815e-10       4.193379346630e-15       3.527991836710e-13       2.351522266812e-19       8.303908905858e-09       4.577129453220e-10      -1.845829688079e-12 
    3       1.310678752078e-10       5.374824114272e-15       3.969121590710e-13       4.704030643425e-19       5.115037264593e-09       3.250808079154e-10      -1.398332063708e-12 
    4       1.241234438695e-10       4.648721735817e-15       3.715484458774e-13       7.842222590342e-19       3.558789696454e-09       2.464374714482e-10      -9.155720435566e-13 
    5       1.189766181110e-10       3.101509558194e-15       3.167391638745e-13       1.176735828512e-18       2.658394924446e-09       1.948120585078e-10      -5.090955076866e-13 
    6       1.155085058429e-10       1.735321911455e-15       2.554010877775e-13       1.648096726175e-18       2.078208303534e-09       1.585901408314e-10      -2.097176557085e-13 
    7       1.133133356263e-10       9.389480465977e-16       2.008173845079e-13       2.198482000137e-18       1.677970013683e-09       1.319776206280e-10      -1.893484401375e-14 
    8       1.121110482421e-10       6.065955194740e-16       1.588395060614e-13       2.828089579494e-18       1.387841738716e-09       1.117761221595e-10       7.822979708029e-14 
    9       1.116493134970e-10       4.875044942457e-16       1.308018091081e-13       3.537134782660e-18       1.169339004226e-09       9.608897784452e-11       1.052000512179e-13 
   10       1.116934286677e-10       4.169624932668e-16       1.154105618853e-13       4.325846649282e-18       9.998312996953e-10       8.365375049427e-11       8.792858663616e-14 
   11       1.121864483574e-10       3.533516827118e-16       1.100120516495e-13       5.194464200422e-18       8.428579130540e-10       7.390981637227e-11       5.063140768189e-14 
   12       1.129716275896e-10       3.117507199672e-16       1.115386561571e-13       6.143232731125e-18       7.366600415745e-10       6.533577245430e-11       1.090071558137e-14 
   13       1.139995182458e-10       3.025518556652e-16       1.172902793692e-13       7.172400235395e-18       6.494385372036e-10       5.837072012958e-11      -1.920525372095e-14 
   14       1.152233146458e-10       3.175531469778e-16       1.252249675334e-13       8.282214056095e-18       5.768393794737e-10       5.230685873446e-11      -3.546777806103e-14 
   15       1.166276471539e-10       3.452369477384e-16       1.340315647717e-13       9.472917841662e-18       5.157050321127e-10       4.720521704666e-11      -3.814140609840e-14 
   16       1.181339151522e-10       3.834980541909e-16       1.430327579438e-13       1.074474887825e-17       4.637075346164e-10       4.280576614083e-11      -3.125144384422e-14 
   17       1.197736928941e-10       4.381620859048e-16       1.519998751667e-13       1.209793585054e-17       4.190875617693e-10       3.896531938690e-11      -2.005010164684e-14 
   18       1.214804914877e-10       5.147112686246e-16       1.611895609416e-13       1.353269688139e-17       3.803482824205e-10       3.561716549609e-11      -9.464828352199e-15 
   19       1.232650693790e-10       6.134378639561e-16       1.708235360033e-13       1.504923917057e-17       3.468790990016e-10       3.271292056691e-11      -2.105173128170e-15 
   20       1.251214165072e-10       7.322880319813e-16       1.810419357408e-13       1.664775612264e-17       3.173938614580e-10       3.013408394222e-11       3.362445911260e-16 
   21       1.270505005858e-10       8.706851479896e-16       1.917965008474e-13       1.832842988918e-17       2.914318244139e-10       2.783376512058e-11      -1.530834060548e-15 
   22       1.290251870014e-10       1.028237605653e-15       2.028989645344e-13       2.009142822149e-17       2.683742406994e-10       2.575490067029e-11      -5.900427318497e-15 
   23       1.310505414269e-10       1.205176662568e-15       2.140184351593e-13       2.193690847976e-17       2.479056664618e-10       2.388975597702e-11      -1.099380385529e-14 
   24       1.331206955288e-10       1.401742170436e-15       2.247361596812e-13       2.386501443041e-17       2.295545371799e-10       2.222259312834e-11      -1.492675659816e-14 
   25       1.352373070318e-10       1.618058891390e-15       2.347630704075e-13       2.587588197109e-17       2.131059304556e-10       2.073204326111e-11      -1.686286717932e-14 
   26       1.373885671273e-10       1.854459152438e-15       2.438525436040e-13       2.796963527637e-17       1.982630312080e-10       1.938038304785e-11      -1.647479242361e-14 
   27       1.395693976920e-10       2.113061877327e-15       2.518870715803e-13       3.014639228677e-17       1.848483825318e-10       1.815006126950e-11      -1.440427376742e-14 
   28       1.417681682545e-10       2.396515693365e-15       2.588212268951e-13       3.240626206411e-17       1.726313273514e-10       1.702208743854e-11      -1.169069083797e-14 
   29       1.439942349008e-10       2.706292952523e-15       2.647269895619e-13       3.474935371450e-17       1.615498112111e-10       1.599449489561e-11      -9.015539724529e-15 
   30       1.462522566101e-10       3.043475367113e-15       2.697537040285e-13       3.717576890450e-17       1.514852139117e-10       1.506143045436e-11      -7.069484930595e-15 
   31       1.485363847959e-10       3.409107749665e-15       2.740526560750e-13       3.968560179466e-17       1.422327085944e-10       1.420821190207e-11      -6.487450190695e-15 
   32       1.508497294669e-10       3.804303299821e-15       2.775649099154e-13       4.227895023524e-17       1.337446766045e-10       1.342611305017e-11      -7.070518580357e-15 
