# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.387659908362e-10       4.289220950009e-15       3.569402181047e-13       2.740284791521e-19       8.421014871033e-09       4.644637034890e-10      -1.870683114981e-12 
    3       1.313353714632e-10       5.509438013034e-15       4.027479042821e-13       5.481623628985e-19       5.256099612392e-09       3.313107401146e-10      -1.418856627314e-12 
    4       1.243431291958e-10       4.770855525818e-15       3.776549386595e-13       9.138362708359e-19       3.676322092996e-09       2.519318859069e-10      -9.305825294299e-13 
    5       1.191356929281e-10       3.186403928687e-15       3.224162343466e-13       1.371185501971e-18       2.753585858122e-09       1.996770362235e-10      -5.189630831092e-13 
    6       1.156011370019e-10       1.783996914463e-15       2.602507146172e-13       1.920374777095e-18       2.156658731205e-09       1.629512519908e-10      -2.155983892184e-13 
    7       1.133605838677e-10       9.641630095179e-16       2.047728887603e-13       2.561595473953e-18       1.744977162492e-09       1.359764928762e-10      -2.236193033472e-14 
    8       1.121081896092e-10       6.201992998579e-16       1.620695927204e-13       3.295062472909e-18       1.446612177273e-09       1.154989402975e-10       7.592328695549e-14 
    9       1.115864190014e-10       4.966893500598e-16       1.336202435961e-13       4.121010693666e-18       1.221595030665e-09       9.953866425480e-11       1.031352106720e-13 
   10       1.115854319117e-10       4.257148800633e-16       1.181600783421e-13       5.039691410218e-18       1.046851307851e-09       8.682820262014e-11       8.571866029971e-14 
   11       1.120178519122e-10       3.641784885011e-16       1.129543727700e-13       6.051368435215e-18       8.813915274986e-10       7.673612070453e-11       4.827607779962e-14 
   12       1.127689148089e-10       3.261278408307e-16       1.149154739740e-13       7.156314266044e-18       7.716334903255e-10       6.803191262958e-11       8.590392142207e-15 
   13       1.137659292271e-10       3.209288935375e-16       1.212389334733e-13       8.354806283350e-18       6.813756712779e-10       6.088513599073e-11      -2.130566696946e-14 
   14       1.149346631513e-10       3.399543225928e-16       1.297626854023e-13       9.647123088346e-18       6.061526656143e-10       5.462961827445e-11      -3.718791992996e-14 
   15       1.162841962007e-10       3.720662326459e-16       1.391923248729e-13       1.103354105840e-17       5.427325413120e-10       4.935645213491e-11      -3.940293552334e-14 
   16       1.177755504790e-10       4.158465383593e-16       1.488259444543e-13       1.251433119122e-17       4.887264958811e-10       4.483728413512e-11      -3.209581372021e-14 
   17       1.193695425868e-10       4.775246087355e-16       1.584301701676e-13       1.408975629685e-17       4.423284584648e-10       4.090861912892e-11      -2.060226344029e-14 
   18       1.210408085830e-10       5.626943030603e-16       1.682216986749e-13       1.576006844688e-17       4.019981263134e-10       3.743222452017e-11      -9.943682477147e-15 
   19       1.228007919511e-10       6.717350385850e-16       1.784294515676e-13       1.752550767392e-17       3.671151427943e-10       3.438272329077e-11      -2.703626916281e-15 
   20       1.246182571875e-10       8.026585427052e-16       1.892244741235e-13       1.938629888476e-17       3.363498737263e-10       3.169746324811e-11      -4.788475517047e-16 
   21       1.265031575180e-10       9.549265838133e-16       2.005654718288e-13       2.134265301039e-17       3.092303036287e-10       2.932882961723e-11      -2.556399016863e-15 
   22       1.284462100724e-10       1.128157782709e-15       2.122564148560e-13       2.339476370012e-17       2.851188015465e-10       2.719517033474e-11      -7.024960841346e-15 
   23       1.304409799043e-10       1.322615721466e-15       2.239253103461e-13       2.554281009836e-17       2.636915098654e-10       2.526750336509e-11      -1.209768980386e-14 
   24       1.324640675296e-10       1.538565757859e-15       2.351073286726e-13       2.778695347039e-17       2.444606037475e-10       2.351413488776e-11      -1.592348954753e-14 
   25       1.345318565467e-10       1.776153391358e-15       2.455290885176e-13       3.012734197325e-17       2.272052858907e-10       2.193680599521e-11      -1.771156665820e-14 
   26       1.366538263818e-10       2.035758769942e-15       2.549784942224e-13       3.256410656511e-17       2.116186137546e-10       2.052840484743e-11      -1.718656509117e-14 
   27       1.388120042468e-10       2.319728222490e-15       2.633374616995e-13       3.509736593067e-17       1.975175337571e-10       1.925675536897e-11      -1.501183780511e-14 
   28       1.409728077666e-10       2.631006877984e-15       2.705497785530e-13       3.772722369535e-17       1.846628441153e-10       1.807584237164e-11      -1.223959128529e-14 
   29       1.431461639807e-10       2.971303075830e-15       2.766836163656e-13       4.045377797267e-17       1.729913523583e-10       1.698508276693e-11      -9.562202003110e-15 
   30       1.453459666028e-10       3.341932270361e-15       2.818870597510e-13       4.327711270740e-17       1.623802580532e-10       1.599048492080e-11      -7.680741844555e-15 
   31       1.475756648418e-10       3.744119905462e-15       2.863116952345e-13       4.619729784433e-17       1.526162267506e-10       1.508882601143e-11      -7.231048242727e-15 
   32       1.498374515446e-10       4.178841229377e-15       2.899033794768e-13       4.921440360122e-17       1.436505016849e-10       1.427010594368e-11      -7.971827695096e-15 
   33       1.521237727372e-10       4.646903211116e-15       2.925320264913e-13       5.232849062635e-17       1.354211869113e-10       1.351408551894e-11      -9.276763765848e-15 
   34       1.544208621374e-10       5.149062418818e-15       2.940493291071e-13       5.553960886676e-17       1.278149461129e-10       1.279686692931e-11      -1.046437886912e-14 
   35       1.567346665252e-10       5.686331961088e-15       2.943087694852e-13       5.884780797486e-17       1.207939746369e-10       1.211983593077e-11      -1.126683335235e-14 
   36       1.590723276579e-10       6.259773146966e-15       2.931498519525e-13       6.225313018077e-17       1.143030809267e-10       1.149001864479e-11      -1.151720776591e-14 
   37       1.614358610927e-10       6.870393076732e-15       2.904253412000e-13       6.575560921057e-17       1.082591170147e-10       1.091146705211e-11      -1.109490405705e-14 
   38       1.638265957466e-10       7.519080688035e-15       2.861178873559e-13       6.935527645119e-17       1.026471702878e-10       1.038280153936e-11      -1.016642577949e-14 
   39       1.662409917528e-10       8.206642858274e-15       2.802626283188e-13       7.305215675832e-17       9.745006100212e-11       9.898321628430e-12      -9.028527170853e-15 
   40       1.686685903559e-10       8.933815764335e-15       2.729177714709e-13       7.684626682541e-17       9.261906118757e-11       9.448234339306e-12      -8.049691402299e-15 
   41       1.710971811054e-10       9.701298072452e-15       2.641413129574e-13       8.073761486962e-17       8.809102004959e-11       9.021655423758e-12      -7.572409507040e-15 
   42       1.735319440909e-10       1.050987432660e-14       2.539087028299e-13       8.472619952987e-17       8.385307203700e-11       8.617594268804e-12      -7.570672203413e-15 
   43       1.759814065450e-10       1.136032414824e-14       2.421707422407e-13       8.881201063577e-17       7.989435341986e-11       8.236980494073e-12      -7.888741885226e-15 
   44       1.784518741062e-10       1.225338613375e-14       2.288756693828e-13       9.299502949866e-17       7.618657366155e-11       7.879531958214e-12      -8.331482285776e-15 
   45       1.809473449045e-10       1.318971979820e-14       2.139706922892e-13       9.727522648590e-17       7.269421687193e-11       7.544121382072e-12      -8.708570317524e-15 
   46       1.834698621509e-10       1.416978239028e-14       1.974078296911e-13       1.016525528985e-16       6.941205789374e-11       7.230256528048e-12      -8.988614905984e-15 
   47       1.860188042789e-10       1.519391196501e-14       1.791393139327e-13       1.061269466510e-16       6.633649810278e-11       6.936862357973e-12      -9.186983528790e-15 
   48       1.885904535137e-10       1.626235640399e-14       1.591157292753e-13       1.106983343339e-16       6.345424454354e-11       6.661770239786e-12      -9.323413835581e-15 
   49       1.911777345910e-10       1.737526940390e-14       1.372858218255e-13       1.153666310661e-16       6.074158777006e-11       6.401639239589e-12      -9.422271706160e-15 
   50       1.937733000809e-10       1.853275257066e-14       1.136022189339e-13       1.201317390723e-16       5.817159023533e-11       6.152932220188e-12      -9.509447215925e-15 
   51       1.963803798359e-10       1.973500447934e-14       8.804085856182e-14       1.249935433016e-16       5.573962715400e-11       5.915339090719e-12      -9.601450546164e-15 
   52       1.990044248627e-10       2.098220514054e-14       6.058650524677e-14       1.299519143642e-16       5.344353012162e-11       5.689146707925e-12      -9.713802351219e-15 
   53       2.016499167769e-10       2.227447163265e-14       3.122738750817e-14       1.350067095000e-16       5.127594089861e-11       5.474236902291e-12      -9.864234636632e-15 
   54       2.043202640098e-10       2.361185625988e-14      -4.471413121149e-17       1.401577723711e-16       4.922396151211e-11       5.270057408046e-12      -1.007279060118e-14 
   55       2.070178675601e-10       2.499435399435e-14      -3.323643685996e-14       1.454049377620e-16       4.727311818488e-11       5.075866519113e-12      -1.035455108664e-14 
   56       2.097445751617e-10       2.642193118689e-14      -6.835951937986e-14       1.507480475257e-16       4.542120784959e-11       4.891604826291e-12      -1.069546925610e-14 
   57       2.125011581380e-10       2.789450076237e-14      -1.054256243271e-13       1.561869382355e-16       4.366727853191e-11       4.717189119930e-12      -1.107070761215e-14 
   58       2.152870566681e-10       2.941191211255e-14      -1.444444183307e-13       1.617214366073e-16       4.200743902580e-11       4.552239632743e-12      -1.145130207314e-14 
   59       2.181002825986e-10       3.097394961591e-14      -1.854235641626e-13       1.673513594835e-16       4.043467706662e-11       4.396061634461e-12      -1.180397454024e-14 
   60       2.209373222556e-10       3.258033115743e-14      -2.283687128871e-13       1.730765138162e-16       3.893867750415e-11       4.247627026488e-12      -1.209094546442e-14 
   61       2.237946693084e-10       3.423064353831e-14      -2.732816859291e-13       1.788967108134e-16       3.750870227495e-11       4.105859438663e-12      -1.227865558096e-14 
   62       2.266740452922e-10       3.592413511225e-14      -3.201545622024e-13       1.848118121224e-16       3.614339706819e-11       3.970605937363e-12      -1.236664280971e-14 
   63       2.295781837585e-10       3.765987376565e-14      -3.689742438029e-13       1.908216940307e-16       3.484287323377e-11       3.841851759713e-12      -1.236484398008e-14 
   64       2.325092590582e-10       3.943680250683e-14      -4.197240849868e-13       1.969262346431e-16       3.360575722089e-11       3.719427456302e-12      -1.228535098540e-14 
   65       2.354688408736e-10       4.125373598331e-14      -4.723838268873e-13       2.031253143144e-16       3.242910589973e-11       3.603000115730e-12      -1.214250603102e-14 
   66       2.384578487505e-10       4.310935699921e-14      -5.269295322322e-13       2.094188160822e-16       3.130832188301e-11       3.492064589150e-12      -1.195299688250e-14 
   67       2.414765066309e-10       4.500221303258e-14      -5.833335200611e-13       2.158066261005e-16       3.023706884770e-11       3.385934714816e-12      -1.173595211376e-14 
   68       2.445248129411e-10       4.693084946452e-14      -6.415667408807e-13       2.222886490363e-16       2.920897196260e-11       3.283926710281e-12      -1.150941057934e-14 
