    2       1.387940215925e-10       4.289133412720e-15       3.569589148615e-13       0.000000000000e+00       8.442964404979e-09       4.650197534532e-10      -1.870728374619e-12 
    3       1.313715071963e-10       5.509174955180e-15       4.027805974321e-13       0.000000000000e+00       5.272899603580e-09       3.318442253738e-10      -1.418899644016e-12 
    4       1.243863202403e-10       4.770250182043e-15       3.776948694614e-13       0.000000000000e+00       3.688734210667e-09       2.524292510014e-10      -9.306153787064e-13 
    5       1.191859952593e-10       3.185316290459e-15       3.224581883556e-13       0.000000000000e+00       2.762971394912e-09       2.001419492409e-10      -5.189835208488e-13 
    6       1.156592566107e-10       1.782325549164e-15       2.602940017392e-13       0.000000000000e+00       2.164124044173e-09       1.633895472193e-10      -2.156058641170e-13 
    7       1.134274750188e-10       9.618334123427e-16       2.048205172324e-13       0.000000000000e+00       1.751298277704e-09       1.363932012527e-10      -2.235722491145e-14 
    8       1.121850504865e-10       6.171453934234e-16       1.621255428263e-13       0.000000000000e+00       1.452247148683e-09       1.158972276517e-10       7.593703436628e-14 
    9       1.116745441453e-10       4.928394857976e-16       1.336883782753e-13       0.000000000000e+00       1.226762140301e-09       9.992001057044e-11       1.031527056681e-13 
   10       1.116861567436e-10       4.209905801288e-16       1.182447214546e-13       0.000000000000e+00       1.051638439018e-09       8.719310722472e-11       8.573413769306e-14 
   11       1.121327181239e-10       3.585033531720e-16       1.130599454355e-13       0.000000000000e+00       8.860957306211e-10       7.708669172216e-11       4.828452120038e-14 
   12       1.128992220300e-10       3.194344613101e-16       1.150458847638e-13       0.000000000000e+00       7.759363547181e-10       6.836659387906e-11       8.590530045797e-15 
   13       1.139130818718e-10       3.131585663017e-16       1.213971866541e-13       0.000000000000e+00       6.853345805866e-10       6.120461326404e-11      -2.131287049626e-14 
   14       1.150998167746e-10       3.310545267999e-16       1.299509540901e-13       0.000000000000e+00       6.098134356980e-10       5.493466002392e-11      -3.720026253908e-14 
   15       1.164685186470e-10       3.619895697741e-16       1.394122515257e-13       0.000000000000e+00       5.461323564395e-10       4.964773516582e-11      -3.941703710059e-14 
   16       1.179799485091e-10       4.045512706617e-16       1.490785666633e-13       0.000000000000e+00       4.918959549882e-10       4.511549573067e-11      -3.210874024033e-14 
   17       1.195951776484e-10       4.649752735476e-16       1.587158539456e-13       0.000000000000e+00       4.452930450692e-10       4.117447391750e-11      -2.061245272365e-14 
   18       1.212886538072e-10       5.488620746522e-16       1.685406703273e-13       0.000000000000e+00       4.047787695209e-10       3.768639630203e-11      -9.951494957183e-15 
   19       1.230717669367e-10       6.565964605054e-16       1.787819302436e-13       0.000000000000e+00       3.697311057840e-10       3.462597660428e-11      -2.710663965251e-15 
   20       1.249133325037e-10       7.861951910388e-16       1.896107577873e-13       0.000000000000e+00       3.388161576125e-10       3.193044469643e-11      -4.875814739789e-16 
   21       1.268233419859e-10       9.371279404272e-16       2.009859426098e-13       0.000000000000e+00       3.115607273664e-10       2.955219891877e-11      -2.568874229070e-15 
   22       1.287925341347e-10       1.109022076473e-15       2.127114815071e-13       0.000000000000e+00       2.873248555645e-10       2.740949186594e-11      -7.042103777975e-15 
   23       1.308144359340e-10       1.302147889470e-15       2.244148351701e-13       0.000000000000e+00       2.657838073384e-10       2.547331040599e-11      -1.211918414925e-14 
   24       1.328655947094e-10       1.516777184912e-15       2.356304829814e-13       0.000000000000e+00       2.464480013801e-10       2.371187033884e-11      -1.594769415089e-14 
   25       1.349624266618e-10       1.753064838011e-15       2.460849180294e-13       0.000000000000e+00       2.290960240557e-10       2.212699272420e-11      -1.773629924353e-14 
   26       1.371144467986e-10       2.011401768725e-15       2.555660524861e-13       0.000000000000e+00       2.134197694873e-10       2.071160376637e-11      -1.720953728161e-14 
   27       1.393035795535e-10       2.294145498488e-15       2.639553574318e-13       0.000000000000e+00       1.992355775512e-10       1.943339434191e-11      -1.503148225822e-14 
   28       1.414961047086e-10       2.604253021389e-15       2.711960827456e-13       0.000000000000e+00       1.863032836658e-10       1.824613448764e-11      -1.225546391073e-14 
   29       1.437019466009e-10       2.943445343751e-15       2.773562598996e-13       0.000000000000e+00       1.745596154718e-10       1.714926506477e-11      -9.574845896407e-15 
   30       1.459350471067e-10       3.313051422171e-15       2.825840138906e-13       0.000000000000e+00       1.638813154446e-10       1.614885543071e-11      -7.691821733516e-15 
   31       1.481989006258e-10       3.714310519433e-15       2.870309662048e-13       0.000000000000e+00       1.540540611697e-10       1.524169530547e-11      -7.243206643964e-15 
   32       1.504956747621e-10       4.148210109476e-15       2.906426568784e-13       0.000000000000e+00       1.450289947872e-10       1.441774996642e-11      -7.987146946195e-15 
   33       1.528177609247e-10       4.615568958578e-15       2.932885471239e-13       0.000000000000e+00       1.367440064938e-10       1.365668672384e-11      -9.296068570939e-15 
   34       1.551513402092e-10       5.117155989784e-15       2.948198229181e-13       0.000000000000e+00       1.290852253997e-10       1.293449447392e-11      -1.048713146444e-14 
   35       1.575023611122e-10       5.653999041458e-15       2.950893908125e-13       0.000000000000e+00       1.220147388918e-10       1.225258495066e-11      -1.129193385740e-14 
   36       1.598779874072e-10       6.227175360024e-15       2.939361147125e-13       0.000000000000e+00       1.154771202486e-10       1.161804112130e-11      -1.154319160078e-14 
   37       1.622802501800e-10       6.837708266243e-15       2.912121472639e-13       0.000000000000e+00       1.093888021747e-10       1.103495777522e-11      -1.112006717258e-14 
   38       1.647104414923e-10       7.486501597554e-15       2.868998731226e-13       0.000000000000e+00       1.037348666466e-10       1.050197983261e-11      -1.018952711212e-14 
